YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,NBR_FLIGHTS_DESCENT,TOT_DIST_LEVEL_NM_DESCENT,TOT_DIST_LVL_NM_DESC_BLW_70,TOT_TIME_LEVEL_SECONDS_DESCENT,TOT_TIME_LEVEL_SEC_DESC_BLW_70,MEDIAN_CDO_ALT,NBR_CDO_FLIGHTS,NBR_CDO_FLIGHTS_BELOW_7000,TOT_DELTA_CO2_KG_DESCENT,TOT_DELTA_CO2_KG_DESC_BLW_70,NBR_FLIGHTS_CLIMB,TOT_DIST_LEVEL_NM_CLIMB,TOT_DIST_LVL_NM_CLIMB_BLW_100,TOT_TIME_LEVEL_SECONDS_CLIMB,TOT_TIME_LVL_SEC_CLIMB_BLW_100,MEDIAN_CCO_ALT,NBR_CCO_FLIGHTS,NBR_CCO_FLIGHTS_BELOW_10000,TOT_DELTA_CO2_KG_CLIMB,TOT_DELTA_CO2_KG_CLIMB_BLW_100,AIRPORT_NAME
2015,1,JAN,EBAW,Antwerpen Deurne,Belgium,343,4148.460183555801,2223.5950730444792,73600,49760,3032.370102806334,85,109,3700.1942306999995,1451.174267,331,1001.2925821427621,261.146196356696,16327,7707,17000,262,308,559.5024010000001,130.283198,Antwerpen Deurne (EBAW)
2015,1,JAN,EBBE,Beauvechain,Belgium,7,169.688986833763,169.688986833763,4780,4780,2903.333333333332,0,0,0,0,7,37.02241751694347,37.02241751694347,1140,1140,6000,5,5,0,0,Beauvechain (EBBE)
2015,1,JAN,EBBL,Kleine Brogel,Belgium,7,54.57493097998699,20.047402859656,580,280,3000,3,4,0,0,6,45.650893383074774,0,440,0,24038.333333333303,4,6,0,0,Kleine Brogel (EBBL)
2015,1,JAN,EBBR,Brussels,Belgium,8207,150501.1891294248,24019.8204352794,1705480,481800,8000,1891,4174,1196683.134915,428859.095395,8220,30402.6846444481,532.4683649649251,254281,7240,34000,6213,8080,56477.198959,3380.1712189999994,Brussels (EBBR)
2015,1,JAN,EBCI,Charleroi,Belgium,1684,34298.7963331443,4193.082196833657,379940,78280,19999.444444444398,320,928,218831.689522,51021.770646000004,1675,10355.7494799924,636.84886170055,91653,10808,37000,1093,1553,16666.0469338,5045.6744658,Charleroi (EBCI)
2015,1,JAN,EBCV,Chievres,Belgium,18,362.0893953014001,221.931017735187,8380,6820,3069.166666666666,3,4,1609.89383,866.84512,16,5.639548836093109,3.23974082073434,60,40,19000,14,15,12.37289999999999,5.193,Chievres (EBCV)
2015,1,JAN,EBFN,Koksijde,Belgium,2,42.332613390928714,42.332613390928714,1420,1420,2463.333333333333,0,0,0,0,1,13.993880489560809,13.993880489560809,280,280,5920.416666666668,0,0,0,0,Koksijde (EBFN)
2015,1,JAN,EBFS,Florennes,Belgium,2,16.16945644348451,16.16945644348451,300,300,3015.104166666666,0,0,-30.04454999999998,-30.04454999999998,2,20.415310437136867,0,340,0,18008.333333333303,0,2,255.82575,0,Florennes (EBFS)
2015,1,JAN,EBKT,Wevelgem/Kortrijk,Belgium,117,1471.5585672226891,615.556242490323,22420,13080,4158.333333333333,34,52,1877.0012869999991,880.365958,84,293.434088394959,62.24175089233474,3640,1340,24500,55,77,110.914287,28.58642999999999,Wevelgem/Kortrijk (EBKT)
2015,1,JAN,EBLG,Liege,Belgium,1141,27447.0485974236,6486.146017795857,338560,130720,3046.666666666665,110,209,312707.2474049999,147600.51951,1102,2181.588692184226,45.18565209698477,18560,680,31000,947,1090,4458.312114999999,578.0679,Liege (EBLG)
2015,1,JAN,EBOS,Oostende,Belgium,127,1816.904460496948,1165.937383191464,39840,33900,3896.666666666666,20,35,12614.579427,11143.263233,118,794.849965886317,120.54193925856801,8997,2617,21963.5028248588,82,107,1268.56248,30.28181000000001,Oostende (EBOS)
2015,1,JAN,EBST,St Truiden,Belgium,1,0,0,0,0,13000,1,1,0,0,1,0,0,0,0,11000,1,1,0,0,St Truiden (EBST)
2015,1,JAN,EDAB,Bautzen,Germany,6,42.37744344101626,42.37744344101626,1060,1060,3514.701514701514,2,2,54.376859999999986,54.376859999999986,4,0,0,0,0,28000,4,4,0,0,Bautzen (EDAB)
2015,1,JAN,EDAC,Altenburg (Et),Germany,9,142.43723234554201,46.56500227015617,2200,880,5000,1,4,152.891622,38.936651,4,29.455417304853277,0,320,0,21500,3,4,29.1342,0,Altenburg (Et) (EDAC)
2015,1,JAN,EDAD,Dessau,Germany,2,0,0,0,0,23000,2,2,0,0,2,0,0,0,0,23000,2,2,0,0,Dessau (EDAD)
2015,1,JAN,EDAE,Eisenhuettenstadt,Germany,1,0,0,0,0,26000,1,1,0,0,1,0,0,0,0,5000,1,1,0,0,Eisenhuettenstadt (EDAE)
2015,1,JAN,EDAH,Heringsdorf,Germany,11,270.52598892922106,270.52598892922106,9020,9020,2963.661202185791,2,2,310.974515,310.974515,6,24.0428306719069,24.0428306719069,720,720,9461.33879781421,3,3,172.727942,172.727942,Heringsdorf (EDAH)
2015,1,JAN,EDAJ,Gera-Leumnitz,Germany,6,0,0,0,0,18000,6,6,0,0,5,19.936035093156452,19.936035093156452,360,360,12000,4,4,53.46559999999998,53.46559999999998,Gera-Leumnitz (EDAJ)
2015,1,JAN,EDAQ,Halle-Oppin,Germany,3,0,0,0,0,9000,3,3,0,0,4,0,0,0,0,13500,4,4,0,0,Halle-Oppin (EDAQ)
2015,1,JAN,EDAV,Finow,Germany,7,18.92598176216608,18.92598176216608,520,520,23000,5,5,2.279668,2.279668,9,0,0,0,0,24000,9,9,0,0,Finow (EDAV)
