YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,NBR_FLIGHTS_DESCENT,TOT_DIST_LEVEL_NM_DESCENT,TOT_DIST_LVL_NM_DESC_BLW_70,TOT_TIME_LEVEL_SECONDS_DESCENT,TOT_TIME_LEVEL_SEC_DESC_BLW_70,MEDIAN_CDO_ALT,NBR_CDO_FLIGHTS,NBR_CDO_FLIGHTS_BELOW_7000,TOT_DELTA_CO2_KG_DESCENT,TOT_DELTA_CO2_KG_DESC_BLW_70,NBR_FLIGHTS_CLIMB,TOT_DIST_LEVEL_NM_CLIMB,TOT_DIST_LVL_NM_CLIMB_BLW_100,TOT_TIME_LEVEL_SECONDS_CLIMB,TOT_TIME_LVL_SEC_CLIMB_BLW_100,MEDIAN_CCO_ALT,NBR_CCO_FLIGHTS,NBR_CCO_FLIGHTS_BELOW_10000,TOT_DELTA_CO2_KG_CLIMB,TOT_DELTA_CO2_KG_CLIMB_BLW_100,AIRPORT_NAME
2026,1,JAN,BIAR,Akureyri,Iceland,229,241.238249631501,91.141447706507,5220,2620,19000,198,211,1875.9766771999991,951.6651332000001,233,107.54252091196601,57.81687445775367,1932,1412,22000,228,230,141.519722,19.42984200000001,Akureyri (BIAR)
2026,1,JAN,BIBD,Bildudalur,Iceland,25,10.85315449789294,10.85315449789294,220,220,14000,21,21,-2.74512,-2.74512,25,0,0,0,0,15000,25,25,0,0,Bildudalur (BIBD)
2026,1,JAN,BIEG,Egilsstadir,Iceland,92,229.693941303916,42.05920142034496,3440,820,23000,81,85,753.2965565000001,209.0683825,89,28.44883173203115,0,360,0,24000,86,89,11.581954999999999,0,Egilsstadir (BIEG)
2026,1,JAN,BIGJ,Gjogur,Iceland,6,9.01907607086874,9.01907607086874,180,180,14000,4,4,-9.071475000000001,-9.071475000000001,6,0,0,0,0,16000,6,6,0,0,Gjogur (BIGJ)
2026,1,JAN,BIGR,Grimsey,Iceland,7,10.31021414390744,10.31021414390744,200,200,7000,4,4,-5.0484,-5.0484,4,2.3998080153587695,2.3998080153587695,40,40,8000,3,3,1.957725,1.957725,Grimsey (BIGR)
2026,1,JAN,BIHN,Hofn Hornafjordur,Iceland,22,3.0137123913808104,3.0137123913808104,60,60,23000,21,21,5.00063,5.00063,22,0,0,0,0,20000,22,22,0,0,Hofn Hornafjordur (BIHN)
2026,1,JAN,BIHU,Husavik,Iceland,1,0,0,0,0,21000,1,1,0,0,,,,,,,,,,,Husavik (BIHU)
2026,1,JAN,BIIS,Isafjordur,Iceland,44,29.582429759669598,29.582429759669598,640,640,17000,37,37,92.37478,92.37478,43,0,0,0,0,18000,43,43,0,0,Isafjordur (BIIS)
2026,1,JAN,BIKF,Keflavik,Iceland,1789,3303.797395590271,2262.132723155446,57080,45880,36000,1239,1271,59634.452874500006,48510.5196845,1808,2976.133201894559,442.783963970229,30921,8600,35000,1580,1801,14383.2475123,2850.385232,Keflavik (BIKF)
2026,1,JAN,BIRK,Reykjavik,Iceland,421,390.88019408711807,285.265347927562,7900,6320,20000,352,357,721.5989900000001,566.3698380000001,405,454.1901309123161,6.0140431732213395,6760,180,21000,385,404,1182.3947725,0.5481000000000003,Reykjavik (BIRK)
2026,1,JAN,BITN,Thorshofn,Iceland,14,36.93293467234047,36.93293467234047,900,900,4674.386189258312,9,9,20.25396999999999,20.25396999999999,14,1.47260946397016,1.47260946397016,40,40,10000,13,13,1.4694749999999999,1.4694749999999999,Thorshofn (BITN)
2026,1,JAN,BIVM,Vestmannaeyjar,Iceland,40,22.20321272233538,3.67630164054961,360,80,9000,37,38,10.40969,-3.2927999999999997,27,0,0,0,0,10000,27,27,0,0,Vestmannaeyjar (BIVM)
2026,1,JAN,BIVO,Vopnafjordur,Iceland,17,3.16439801094982,3.16439801094982,80,80,9000,15,15,0.9930379999999976,0.9930379999999976,5,0,0,0,0,14000,5,5,0,0,Vopnafjordur (BIVO)
2026,1,JAN,EBAW,Antwerp,Belgium,324,5605.225313842209,2126.088676207547,87120,51600,3097.158318557919,46,86,8945.741126500003,3838.324447999999,306,1713.26151289317,473.17498162358504,27081,15121,27000,222,284,1728.4151199999992,157.81165049999998,Antwerp (EBAW)
2026,1,JAN,EBBL,Kleine Brogel,Belgium,2,12.72032165998149,12.72032165998149,120,120,4066.9642857142862,0,0,-16.04925,-16.04925,,,,,,,,,,,Kleine Brogel (EBBL)
2026,1,JAN,EBBR,Brussels,Belgium,7007,121928.1674149599,18030.694273074998,1302580,348340,3491.021505376343,1058,2494,1039815.7019167,493161.42596279987,7038,41966.6583054091,653.8964335601341,353092,8760,35000,4734,6865,90865.8900923,9352.906908,Brussels (EBBR)
2026,1,JAN,EBCI,Charleroi,Belgium,2452,46476.3461665392,4070.4194010384163,467900,76380,21136.0714285714,453,1452,220439.3666745999,55799.555092500006,2446,23040.6659791072,718.933021337773,196160,8820,35000,1340,2276,41036.226383,4025.265913,Charleroi (EBCI)
2026,1,JAN,EBCV,Chievres,Belgium,14,275.415373275908,156.52606067417702,4140,3060,2944.3012422360243,0,1,1004.1113437,576.5949737000001,13,3.1272498200144003,3.1272498200144003,40,40,17000,12,12,-0.1575000000000059,-0.1575000000000059,Chievres (EBCV)
2026,1,JAN,EBFS,Florennes,Belgium,2,75.97334549959332,59.187873821198586,1100,920,3237.708333333333,0,0,763.24824,636.8807400000001,5,94.49800634414206,0,880,0,24500,1,5,317.49922000000004,0,Florennes (EBFS)
2026,1,JAN,EBKT,Kortrijk/Wevelgem,Belgium,169,2837.4900141988714,926.839758568033,43680,22600,2482.713884992987,22,45,2425.4646340999993,1192.6220315,155,742.276840205901,183.878885306803,10740,4720,23000,111,141,691.9609675,135.6206695,Kortrijk/Wevelgem (EBKT)
2026,1,JAN,EBLG,Liege,Belgium,1231,23589.7934436191,4744.924426177705,276780,99420,3599.5538778311593,182,397,453282.6127763,245065.4690715,1237,4809.857079158254,150.071424981916,38800,2040,31000,937,1193,16771.3115785,3686.311027,Liege (EBLG)
2026,1,JAN,EBNM,Namur,Belgium,1,19.87041036717062,19.87041036717062,520,520,5930,0,0,-0.42630000000000123,-0.42630000000000123,1,4.1066282966931,4.1066282966931,140,140,10074.4296244296,0,0,0.8830499999999999,0.8830499999999999,Namur (EBNM)
2026,1,JAN,EBOS,Ostend/Bruges,Belgium,288,3730.17570089063,1594.091349277689,53460,31140,4000,49,79,44875.31985,32523.303444499998,292,1734.703590272569,220.490747887504,17340,4540,34937.7941176471,192,280,3835.6760365,8.23426199999996,Ostend/Bruges (EBOS)
2026,1,JAN,EBST,St Truiden,Belgium,1,0,0,0,0,3000,1,1,0,0,1,1.4398848092152599,1.4398848092152599,40,40,4000,0,0,0.2425499999999998,0.2425499999999998,St Truiden (EBST)
2026,1,JAN,EDAB,Bautzen,Germany,4,5.62455003599709,5.62455003599709,140,140,16021.25,2,2,17.78804,17.78804,4,13.07595392368611,0,120,0,28000,2,4,8.928467,0,Bautzen (EDAB)
