YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,NBR_FLIGHTS_DESCENT,TOT_DIST_LEVEL_NM_DESCENT,TOT_DIST_LVL_NM_DESC_BLW_70,TOT_TIME_LEVEL_SECONDS_DESCENT,TOT_TIME_LEVEL_SEC_DESC_BLW_70,MEDIAN_CDO_ALT,NBR_CDO_FLIGHTS,NBR_CDO_FLIGHTS_BELOW_7000,TOT_DELTA_CO2_KG_DESCENT,TOT_DELTA_CO2_KG_DESC_BLW_70,NBR_FLIGHTS_CLIMB,TOT_DIST_LEVEL_NM_CLIMB,TOT_DIST_LVL_NM_CLIMB_BLW_100,TOT_TIME_LEVEL_SECONDS_CLIMB,TOT_TIME_LVL_SEC_CLIMB_BLW_100,MEDIAN_CCO_ALT,NBR_CCO_FLIGHTS,NBR_CCO_FLIGHTS_BELOW_10000,TOT_DELTA_CO2_KG_CLIMB,TOT_DELTA_CO2_KG_CLIMB_BLW_100,AIRPORT_NAME
2018,1,JAN,EBAW,Antwerpen Deurne,Belgium,413,6109.803481566158,2805.3169506200234,95020,58480,3000,57,83,10342.560534,4913.512498000001,405,2215.400652881464,336.973799604495,27120,7680,20966.0714285714,274,362,1876.3469910000001,288.230616,Antwerpen Deurne (EBAW)
2018,1,JAN,EBBE,Beauvechain,Belgium,3,125.179801163758,125.179801163758,3080,3080,2310.151515151514,0,0,0,0,6,7.20724950699596,7.20724950699596,200,200,6000,5,5,0,0,Beauvechain (EBBE)
2018,1,JAN,EBBL,Kleine Brogel,Belgium,8,215.805016483352,107.027867437528,3240,2380,3000,2,4,871.8820000000001,871.8820000000001,3,36.59205320578529,10.15286963917192,460,140,23009.375,0,2,200.9231,58.92409999999998,Kleine Brogel (EBBL)
2018,1,JAN,EBBR,Brussels,Belgium,8231,162329.5721144383,23897.3498439802,1781000,473280,5961.666666666666,1338,3638,1216945.690414,427324.028348,8256,40734.2496259839,834.2171907985651,342480,11440,33000,5579,7957,91575.19353,6749.146372,Brussels (EBBR)
2018,1,JAN,EBCI,Charleroi,Belgium,1923,39221.052319274306,5263.692721607421,449440,111140,13948.275862069,311,1032,229263.5358465,52189.335303500004,1909,19861.5907522258,1887.000321456988,179620,26680,34994.574780058705,944,1569,41829.42347,11320.810319999999,Charleroi (EBCI)
2018,1,JAN,EBCV,Chievres,Belgium,18,498.208764805881,283.203899391589,8080,5980,2982.608695652174,2,2,1850.584319999999,1419.37601,16,146.82842974049402,3.22462538922236,3620,2560,20000,12,15,2680.81734,2587.0419,Chievres (EBCV)
2018,1,JAN,EBFS,Florennes,Belgium,4,48.43406789989414,35.076489447346766,760,580,4100,0,1,178.80667,83.62776999999998,1,9.50323974082073,0,140,0,23960,0,1,65.43229999999996,0,Florennes (EBFS)
2018,1,JAN,EBKT,Wevelgem/Kortrijk,Belgium,113,2161.402717155037,1055.9143842760882,36360,23760,2036.666666666666,6,15,2469.994498999999,1420.811202,104,1234.710061446237,333.30479989678105,16455,7415,21022.2222222222,56,93,925.8333170000001,45.60546,Wevelgem/Kortrijk (EBKT)
2018,1,JAN,EBLG,Liege,Belgium,1339,25672.932866043,7452.287062158082,313780,144100,3077.5,131,265,383053.5328989999,199963.2346869999,1339,3581.641291441706,477.90091162017507,37160,10620,31000,1036,1278,13088.252716,2349.119814,Liege (EBLG)
2018,1,JAN,EBOS,Oostende,Belgium,174,3369.3563746088444,2179.283894329004,73100,60700,5868.125,23,40,28325.890202,22900.373685,167,1070.537639439512,82.73731346498494,10376,2136,30000,115,155,1581.4614299999992,138.25486,Oostende (EBOS)
