YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,NBR_FLIGHTS_DESCENT,TOT_DIST_LEVEL_NM_DESCENT,TOT_DIST_LVL_NM_DESC_BLW_70,TOT_TIME_LEVEL_SECONDS_DESCENT,TOT_TIME_LEVEL_SEC_DESC_BLW_70,MEDIAN_CDO_ALT,NBR_CDO_FLIGHTS,NBR_CDO_FLIGHTS_BELOW_7000,TOT_DELTA_CO2_KG_DESCENT,TOT_DELTA_CO2_KG_DESC_BLW_70,NBR_FLIGHTS_CLIMB,TOT_DIST_LEVEL_NM_CLIMB,TOT_DIST_LVL_NM_CLIMB_BLW_100,TOT_TIME_LEVEL_SECONDS_CLIMB,TOT_TIME_LVL_SEC_CLIMB_BLW_100,MEDIAN_CCO_ALT,NBR_CCO_FLIGHTS,NBR_CCO_FLIGHTS_BELOW_10000,TOT_DELTA_CO2_KG_CLIMB,TOT_DELTA_CO2_KG_CLIMB_BLW_100,AIRPORT_NAME
2021,1,JAN,EBAW,Antwerpen Deurne,Belgium,162,1753.660315712258,878.9988611161921,28320,18820,2936.3790970933815,30,35,2984.542011999999,1543.5151290000001,146,525.0502111124031,96.90341117235656,7100,2520,23477.4193548387,118,142,285.556488,14.34977999999999,Antwerpen Deurne (EBAW)
2021,1,JAN,EBBL,Kleine Brogel,Belgium,1,47.61406587473001,47.61406587473001,680,680,3045.3125,0,0,0,0,2,12.2952663786897,0,80,0,15374.4791666667,1,2,0,0,Kleine Brogel (EBBL)
2021,1,JAN,EBBR,Brussels,Belgium,2643,29127.9105869574,7005.651726755083,344940,134440,3835.8527131782935,587,1022,354209.36104499997,159842.428802,2651,5413.116445114046,90.87068164962932,45000,1360,35000,2149,2604,15970.827901,1367.65527,Brussels (EBBR)
2021,1,JAN,EBCI,Charleroi,Belgium,549,6367.577761294353,1777.853302458103,84240,36540,6000,150,240,45933.18232,16452.74492,546,1580.4788091717262,356.840858217517,15660,5520,37000,406,484,3283.2452669999993,1880.803385,Charleroi (EBCI)
2021,1,JAN,EBCV,Chievres,Belgium,6,345.844453511279,220.193617309047,4905,3285,3012.772988505747,0,0,954.84059,531.51273,12,41.45515201477975,41.45515201477975,6240,6240,9440.234375,7,7,5841.08629,5841.08629,Chievres (EBCV)
2021,1,JAN,EBFN,Koksijde,Belgium,1,3.59971202303815,3.59971202303815,100,100,1889.999999999999,0,0,0,0,1,16.34494240460761,16.34494240460761,380,380,5073.541666666668,0,0,0,0,Koksijde (EBFN)
2021,1,JAN,EBFS,Florennes,Belgium,1,167.4926783995,167.4926783995,4240,4240,2905.366847826086,0,0,477.46023400000007,477.46023400000007,1,0,0,0,0,10000,1,1,0,0,Florennes (EBFS)
2021,1,JAN,EBKT,Wevelgem/Kortrijk,Belgium,87,1096.4899373462201,671.6267751191231,19680,15060,2477.985285795132,12,17,1791.409707,1057.023167999999,81,180.57245405774702,23.66526588388631,1840,460,35000,66,77,111.069378,23.85464999999999,Wevelgem/Kortrijk (EBKT)
2021,1,JAN,EBLG,Liege,Belgium,1408,21209.781011797797,5347.57658801817,258620,104040,3209.6903500557974,201,388,391803.46839500003,206941.37307499998,1472,2584.18185342923,175.911477746254,22600,2860,33000,1267,1445,14308.706559,3202.09861,Liege (EBLG)
2021,1,JAN,EBNM,Namur,Belgium,1,2.2294990594301,2.2294990594301,80,80,4041.9354838709673,0,0,0,0,1,18.573376767221248,18.573376767221248,580,580,4193.75,0,0,0,0,Namur (EBNM)
