YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,NBR_FLIGHTS_DESCENT,TOT_DIST_LEVEL_NM_DESCENT,TOT_DIST_LVL_NM_DESC_BLW_70,TOT_TIME_LEVEL_SECONDS_DESCENT,TOT_TIME_LEVEL_SEC_DESC_BLW_70,MEDIAN_CDO_ALT,NBR_CDO_FLIGHTS,NBR_CDO_FLIGHTS_BELOW_7000,TOT_DELTA_CO2_KG_DESCENT,TOT_DELTA_CO2_KG_DESC_BLW_70,NBR_FLIGHTS_CLIMB,TOT_DIST_LEVEL_NM_CLIMB,TOT_DIST_LVL_NM_CLIMB_BLW_100,TOT_TIME_LEVEL_SECONDS_CLIMB,TOT_TIME_LVL_SEC_CLIMB_BLW_100,MEDIAN_CCO_ALT,NBR_CCO_FLIGHTS,NBR_CCO_FLIGHTS_BELOW_10000,TOT_DELTA_CO2_KG_CLIMB,TOT_DELTA_CO2_KG_CLIMB_BLW_100,AIRPORT_NAME
2017,1,JAN,EBAW,Antwerpen Deurne,Belgium,390,5718.318739858197,2437.1793153363083,86210,52790,2993.75,61,96,8139.469412499999,4147.6618595,370,1736.787959869212,196.287830818309,19379,4180,20000,252,325,1260.8892119999991,198.988961,Antwerpen Deurne (EBAW)
2017,1,JAN,EBBE,Beauvechain,Belgium,5,109.91604109116601,109.91604109116601,2820,2820,2937.173913043477,1,1,0,0,4,9.5617350611951,9.5617350611951,240,240,5500,3,3,0,0,Beauvechain (EBBE)
2017,1,JAN,EBBL,Kleine Brogel,Belgium,3,56.58949008217273,56.58949008217273,980,980,2513.333333333333,1,1,-20.07494999999999,-20.07494999999999,1,31.498480121590248,0,360,0,18976.666666666697,0,1,-18.68420000000003,0,Kleine Brogel (EBBL)
2017,1,JAN,EBBR,Brussels,Belgium,8407,160916.80048720492,24293.823435769198,1738380,447040,5950,1489,3828,1106564.94841,373408.700888,8427,39589.2059012206,1059.443879159852,328976,14336,33000,5727,8049,81419.4813,9060.311656,Brussels (EBBR)
2017,1,JAN,EBCI,Charleroi,Belgium,1821,38904.089449997504,5472.737290352599,424860,99140,6003.5714285714275,242,810,222571.49405799998,60267.899331,1820,14094.1988889665,1122.456489103512,122900,15660,35000,1016,1551,21667.758195,6290.456323,Charleroi (EBCI)
2017,1,JAN,EBCV,Chievres,Belgium,7,146.08852102403202,41.69202954058622,1880,800,2976.271186440678,1,2,335.909355,209.10606,6,5.98387843258253,4.2965134217834,80,60,20485.9375,4,5,15.73276199999999,0.3404620000000004,Chievres (EBCV)
2017,1,JAN,EBFS,Florennes,Belgium,10,149.87183004154,131.45077125871,2520,2320,3038.594584286803,1,1,-69.10247000000008,-108.05067,5,40.53733853825827,40.53733853825827,560,560,8935,2,2,290.2317,290.2317,Florennes (EBFS)
2017,1,JAN,EBKT,Wevelgem/Kortrijk,Belgium,67,706.3715906403021,223.430606881002,10080,4540,6000,23,34,850.7850380000001,251.392158,62,418.23676205843907,176.469506406742,6620,3940,16499.684343434397,42,53,225.679627,22.998585,Wevelgem/Kortrijk (EBKT)
2017,1,JAN,EBLG,Liege,Belgium,1161,22266.677457639802,6508.9709301857765,275660,128320,3044.8837209302314,106,208,275519.008863,146440.375222,1156,1913.864609641077,92.6548821017746,16440,1260,32000,966,1119,8244.129707,1049.360541999999,Liege (EBLG)
2017,1,JAN,EBNM,Namur,Belgium,1,0,0,0,0,4000,1,1,0,0,1,0,0,0,0,4000,1,1,0,0,Namur (EBNM)
2017,1,JAN,EBOS,Oostende,Belgium,173,3094.517069515768,1611.1254492271082,54560,37220,3171.666666666666,23,40,22038.360782,13961.616668,174,693.837858543745,125.008373873809,8020,3260,31000,120,166,853.529298,82.35336,Oostende (EBOS)
2017,1,JAN,EBTN,Goetsenhoven,Belgium,1,0,0,0,0,3000,1,1,0,0,,,,,,,,,,,Goetsenhoven (EBTN)
2017,1,JAN,EDAC,Altenburg (Et),Germany,10,186.73242268007002,157.226430218291,3920,3660,3940.63231850117,1,1,83.26321200000001,59.080980000000004,8,40.68188558664645,4.458331858041519,420,100,9500,5,7,14.79638999999998,0.44519999999999976,Altenburg (Et) (EDAC)
2017,1,JAN,EDAE,Eisenhuettenstadt,Germany,1,0,0,0,0,23000,1,1,0,0,1,0,0,0,0,24000,1,1,0,0,Eisenhuettenstadt (EDAE)
2017,1,JAN,EDAH,Heringsdorf,Germany,4,89.5374142977292,89.5374142977292,2360,2360,2700.78199123281,0,0,12.971689999999999,12.971689999999999,2,0,0,0,0,21000,2,2,0,0,Heringsdorf (EDAH)
2017,1,JAN,EDAJ,Gera-Leumnitz,Germany,1,8.71086050820852,8.71086050820852,240,240,2197.199453551911,0,0,0,0,1,2.6518370333652,2.6518370333652,60,60,8371.311475409835,0,0,0,0,Gera-Leumnitz (EDAJ)
