YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,APT_ICAO,APT_NAME,STATE_NAME,FLT_DEP_1,FLT_DEP_IFR_2,DLY_ATC_PRE_2,FLT_DEP_3,DLY_ATC_PRE_3
2026,01,JAN,2026-01-01,BIKF,Keflavik,Iceland,65,65,1,16,15
2026,01,JAN,2026-01-01,EBAW,Antwerp,Belgium,5,,,,
2026,01,JAN,2026-01-01,EBBR,Brussels,Belgium,224,224,202,144,175
2026,01,JAN,2026-01-01,EBCI,Brussels - Charleroi,Belgium,104,104,17,99,30
2026,01,JAN,2026-01-01,EBLG,Liège,Belgium,21,,,,
2026,01,JAN,2026-01-01,EBOS,Ostend-Bruges,Belgium,7,,,,
2026,01,JAN,2026-01-01,EDDB,Berlin - Brandenburg,Germany,211,211,147,168,120
2026,01,JAN,2026-01-01,EDDC,Dresden,Germany,4,,,3,0
2026,01,JAN,2026-01-01,EDDE,Erfurt,Germany,1,1,0,,
2026,01,JAN,2026-01-01,EDDF,Frankfurt,Germany,429,429,27,291,125
2026,01,JAN,2026-01-01,EDDG,Muenster-Osnabrueck,Germany,5,,,1,0
2026,01,JAN,2026-01-01,EDDH,Hamburg,Germany,111,111,36,94,73
2026,01,JAN,2026-01-01,EDDK,Cologne-Bonn,Germany,80,,,52,23
2026,01,JAN,2026-01-01,EDDL,Dusseldorf,Germany,140,140,2,100,50
2026,01,JAN,2026-01-01,EDDM,Munich,Germany,320,320,0,201,25
2026,01,JAN,2026-01-01,EDDN,Nuremberg,Germany,32,32,3,22,0
2026,01,JAN,2026-01-01,EDDP,Leipzig-Halle,Germany,24,23,0,4,0
2026,01,JAN,2026-01-01,EDDS,Stuttgart,Germany,76,80,15,56,15
2026,01,JAN,2026-01-01,EDDV,Hanover,Germany,33,,,18,11
2026,01,JAN,2026-01-01,EDDW,Bremen,Germany,15,15,0,14,0
2026,01,JAN,2026-01-01,EETN,Tallinn,Estonia,38,39,6,32,6
2026,01,JAN,2026-01-01,EETU,Tartu,Estonia,3,,,2,0
2026,01,JAN,2026-01-01,EFHK,Helsinki - Vantaa,Finland,199,198,18,180,11
2026,01,JAN,2026-01-01,EGAA,Belfast - Aldergrove,United Kingdom,63,,,54,12
2026,01,JAN,2026-01-01,EGAC,Belfast - City Airport,United Kingdom,40,,,11,18
2026,01,JAN,2026-01-01,EGAE,Londonderry - Eglinton,United Kingdom,1,,,1,0
2026,01,JAN,2026-01-01,EGBB,Birmingham,United Kingdom,110,112,53,76,153
2026,01,JAN,2026-01-01,EGCC,Manchester,United Kingdom,228,,,159,143
2026,01,JAN,2026-01-01,EGGD,Bristol,United Kingdom,90,90,32,78,18
2026,01,JAN,2026-01-01,EGGW,London - Luton,United Kingdom,152,152,66,136,61
2026,01,JAN,2026-01-01,EGHI,Southampton,United Kingdom,9,,,4,0
2026,01,JAN,2026-01-01,EGKB,Biggin Hill,United Kingdom,7,,,,
2026,01,JAN,2026-01-01,EGKK,London - Gatwick,United Kingdom,328,,,230,172
2026,01,JAN,2026-01-01,EGLC,London - City,United Kingdom,55,55,0,18,0
2026,01,JAN,2026-01-01,EGLF,Farnborough,United Kingdom,10,,,,
2026,01,JAN,2026-01-01,EGLL,London - Heathrow,United Kingdom,645,,,136,311
2026,01,JAN,2026-01-01,EGNT,Newcastle,United Kingdom,40,,,23,0
2026,01,JAN,2026-01-01,EGNX,East Midlands,United Kingdom,28,,,14,25
2026,01,JAN,2026-01-01,EGPD,Aberdeen,United Kingdom,21,,,10,0
2026,01,JAN,2026-01-01,EGPF,Glasgow,United Kingdom,66,,,36,0
2026,01,JAN,2026-01-01,EGPH,Edinburgh,United Kingdom,137,137,15,101,50
2026,01,JAN,2026-01-01,EGSS,London - Stansted,United Kingdom,252,252,189,213,114
2026,01,JAN,2026-01-01,EHAM,Amsterdam - Schiphol,Netherlands,616,,,489,1776
2026,01,JAN,2026-01-01,EHBK,Maastricht-Aachen,Netherlands,3,,,,
2026,01,JAN,2026-01-01,EHGG,Groningen,Netherlands,1,,,,
2026,01,JAN,2026-01-01,EHRD,Rotterdam,Netherlands,20,,,10,9
2026,01,JAN,2026-01-01,EICK,Cork,Ireland,28,,,26,3
2026,01,JAN,2026-01-01,EIDL,Donegal,Ireland,1,,,,
2026,01,JAN,2026-01-01,EIDW,Dublin,Ireland,325,325,192,251,136
2026,01,JAN,2026-01-01,EIKN,Connaught,Ireland,11,,,10,0
2026,01,JAN,2026-01-01,EIKY,Kerry - Farranfore,Ireland,3,,,3,0
2026,01,JAN,2026-01-01,EINN,Shannon,Ireland,27,,,25,0
2026,01,JAN,2026-01-01,EIWT,Weston,Ireland,0,,,,
2026,01,JAN,2026-01-01,EKCH,Copenhagen - Kastrup,Denmark,278,277,3,208,38
2026,01,JAN,2026-01-01,ELLX,Luxembourg,Luxembourg,85,85,0,59,0
2026,01,JAN,2026-01-01,ENAL,Alesund,Norway,10,,,3,0
2026,01,JAN,2026-01-01,ENAN,Andenes,Norway,3,,,,
2026,01,JAN,2026-01-01,ENAT,Alta,Norway,9,,,1,0
2026,01,JAN,2026-01-01,ENBL,Forde Bringeland,Norway,3,,,,
2026,01,JAN,2026-01-01,ENBN,Bronnoysund Bronnoy,Norway,7,,,,
2026,01,JAN,2026-01-01,ENBO,Bodø,Norway,40,,,2,0
2026,01,JAN,2026-01-01,ENBR,Bergen,Norway,77,77,11,20,0
2026,01,JAN,2026-01-01,ENBS,Batsfjord,Norway,2,,,,
2026,01,JAN,2026-01-01,ENBV,Berlevåg,Norway,2,,,,
2026,01,JAN,2026-01-01,ENCN,Kristiansand Kjevik,Norway,7,,,3,0
2026,01,JAN,2026-01-01,ENDU,Bardufoss,Norway,1,,,,
