YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,APT_ICAO,APT_NAME,STATE_NAME,FLT_DEP_1,FLT_DEP_IFR_2,DLY_ATC_PRE_2,FLT_DEP_3,DLY_ATC_PRE_3
2016,01,JAN,2016-01-01,EBAW,Antwerp,Belgium,4,,,2,0
2016,01,JAN,2016-01-01,EBBR,Brussels,Belgium,174,174,59,137,48
2016,01,JAN,2016-01-01,EBCI,Charleroi,Belgium,45,45,0,43,0
2016,01,JAN,2016-01-01,EBLG,Liège,Belgium,6,,,,
2016,01,JAN,2016-01-01,EBOS,Ostend-Bruges,Belgium,7,,,4,0
2016,01,JAN,2016-01-01,EDDB,Berlin - Brandenburg,Germany,98,,,76,36
2016,01,JAN,2016-01-01,EDDC,Dresden,Germany,18,,,15,0
2016,01,JAN,2016-01-01,EDDE,Erfurt,Germany,1,,,,
2016,01,JAN,2016-01-01,EDDF,Frankfurt,Germany,401,401,22,303,32
2016,01,JAN,2016-01-01,EDDG,Muenster-Osnabrueck,Germany,3,,,3,0
2016,01,JAN,2016-01-01,EDDH,Hamburg,Germany,122,125,14,100,15
2016,01,JAN,2016-01-01,EDDK,Cologne-Bonn,Germany,92,,,69,12
2016,01,JAN,2016-01-01,EDDL,Dusseldorf,Germany,172,,,115,24
2016,01,JAN,2016-01-01,EDDM,Munich,Germany,276,276,0,218,33
2016,01,JAN,2016-01-01,EDDN,Nuremberg,Germany,32,32,0,22,0
2016,01,JAN,2016-01-01,EDDP,Leipzig-Halle,Germany,16,16,0,10,0
2016,01,JAN,2016-01-01,EDDR,Saarbruecken,Germany,3,,,1,0
2016,01,JAN,2016-01-01,EDDS,Stuttgart,Germany,81,,,70,3
2016,01,JAN,2016-01-01,EDDT,Berlin - Tegel,Germany,164,,,155,152
2016,01,JAN,2016-01-01,EDDV,Hanover,Germany,33,33,0,27,2
2016,01,JAN,2016-01-01,EDDW,Bremen,Germany,13,13,3,12,3
2016,01,JAN,2016-01-01,EETN,Tallinn,Estonia,24,25,0,16,0
2016,01,JAN,2016-01-01,EETU,Tartu,Estonia,1,,,1,0
2016,01,JAN,2016-01-01,EFHK,Helsinki - Vantaa,Finland,161,164,18,139,18
2016,01,JAN,2016-01-01,EGAA,Belfast - Aldergrove,United Kingdom,48,,,39,7
2016,01,JAN,2016-01-01,EGAC,Belfast - City Airport,United Kingdom,24,,,24,0
2016,01,JAN,2016-01-01,EGAE,Londonderry - Eglinton,United Kingdom,2,,,2,0
2016,01,JAN,2016-01-01,EGBB,Birmingham,United Kingdom,84,83,3,52,4
2016,01,JAN,2016-01-01,EGCC,Manchester,United Kingdom,150,150,16,104,19
2016,01,JAN,2016-01-01,EGGD,Bristol,United Kingdom,58,,,51,5
2016,01,JAN,2016-01-01,EGGW,London - Luton,United Kingdom,111,,,85,13
2016,01,JAN,2016-01-01,EGHI,Southampton,United Kingdom,14,,,11,0
2016,01,JAN,2016-01-01,EGKB,Biggin Hill,United Kingdom,9,,,,
2016,01,JAN,2016-01-01,EGKK,London - Gatwick,United Kingdom,334,333,117,266,100
2016,01,JAN,2016-01-01,EGLC,London - City,United Kingdom,53,,,38,0
2016,01,JAN,2016-01-01,EGLF,Farnborough,United Kingdom,5,,,,
2016,01,JAN,2016-01-01,EGLL,London - Heathrow,United Kingdom,559,,,406,180
2016,01,JAN,2016-01-01,EGNX,East Midlands,United Kingdom,23,,,16,0
2016,01,JAN,2016-01-01,EGPD,Aberdeen,United Kingdom,19,,,15,0
2016,01,JAN,2016-01-01,EGPF,Glasgow,United Kingdom,64,,,49,4
2016,01,JAN,2016-01-01,EGPH,Edinburgh,United Kingdom,86,85,0,76,3
2016,01,JAN,2016-01-01,EGSS,London - Stansted,United Kingdom,169,169,65,151,67
2016,01,JAN,2016-01-01,EHAM,Amsterdam - Schiphol,Netherlands,500,,,401,331
2016,01,JAN,2016-01-01,EHBK,Maastricht-Aachen,Netherlands,3,,,2,0
2016,01,JAN,2016-01-01,EHGG,Groningen,Netherlands,1,,,,
2016,01,JAN,2016-01-01,EHRD,Rotterdam,Netherlands,16,,,1,0
2016,01,JAN,2016-01-01,EICK,Cork,Ireland,20,,,11,0
2016,01,JAN,2016-01-01,EIDL,Donegal,Ireland,2,,,,
2016,01,JAN,2016-01-01,EIDW,Dublin,Ireland,225,225,222,180,105
2016,01,JAN,2016-01-01,EIKN,Connaught,Ireland,4,,,4,0
2016,01,JAN,2016-01-01,EIKY,Kerry - Farranfore,Ireland,5,,,3,0
2016,01,JAN,2016-01-01,EINN,Shannon,Ireland,16,,,11,9
2016,01,JAN,2016-01-01,EIWF,Waterford,Ireland,0,,,,
2016,01,JAN,2016-01-01,EKCH,Copenhagen - Kastrup,Denmark,193,193,5,153,13
2016,01,JAN,2016-01-01,ELLX,Luxembourg,Luxembourg,38,38,0,23,1
2016,01,JAN,2016-01-01,ENBR,Bergen,Norway,81,81,0,47,0
2016,01,JAN,2016-01-01,ENGM,Oslo - Gardermoen,Norway,177,177,1,171,1
2016,01,JAN,2016-01-01,ENHD,Haugesund,Norway,4,4,0,3,0
2016,01,JAN,2016-01-01,ENVA,Trondheim,Norway,43,43,0,39,0
2016,01,JAN,2016-01-01,ENZV,Stavanger,Norway,49,50,0,24,0
2016,01,JAN,2016-01-01,EPBY,Bydgoszcz,Poland,1,,,1,0
2016,01,JAN,2016-01-01,EPGD,Gdansk,Poland,24,,,24,0
2016,01,JAN,2016-01-01,EPKK,Krakow - Balice,Poland,33,,,33,10
2016,01,JAN,2016-01-01,EPKT,Katowice - Pyrzowice,Poland,18,,,14,0
2016,01,JAN,2016-01-01,EPLB,Lublin,Poland,4,,,3,0
2016,01,JAN,2016-01-01,EPLL,Lodz - Lublinek,Poland,2,,,2,0
2016,01,JAN,2016-01-01,EPMO,Warszawa - Modlin,Poland,21,,,21,13
2016,01,JAN,2016-01-01,EPPO,Poznan - Lawica,Poland,11,,,8,0
2016,01,JAN,2016-01-01,EPRZ,Rzeszow - Jasionka,Poland,4,,,4,0
2016,01,JAN,2016-01-01,EPSC,Szczecin - Goleniów,Poland,1,,,1,0
2016,01,JAN,2016-01-01,EPWA,Warszawa - Chopina,Poland,109,109,21,94,25
2016,01,JAN,2016-01-01,EPWR,Wroclaw - Strachowice,Poland,17,,,14,0
2016,01,JAN,2016-01-01,ESGG,Göteborg,Sweden,38,,,36,0
2016,01,JAN,2016-01-01,ESSA,Stockholm - Arlanda,Sweden,154,151,0,125,3
2016,01,JAN,2016-01-01,ESSB,Stockholm - Bromma,Sweden,19,,,9,0
2016,01,JAN,2016-01-01,EVRA,Riga,Latvia,77,78,8,68,8
2016,01,JAN,2016-01-01,EYKA,Kaunas,Lithuania,5,,,5,0
2016,01,JAN,2016-01-01,EYPA,Palanga,Lithuania,0,,,,
2016,01,JAN,2016-01-01,EYSA,Siauliai,Lithuania,1,,,,
2016,01,JAN,2016-01-01,EYVI,Vilnius,Lithuania,27,,,22,0
2016,01,JAN,2016-01-01,GCFV,Fuerteventura,Spain,33,32,0,21,9
2016,01,JAN,2016-01-01,GCGM,La Gomera,Spain,2,,,2,0
2016,01,JAN,2016-01-01,GCHI,Hierro,Spain,3,,,3,0
2016,01,JAN,2016-01-01,GCLA,La Palma,Spain,16,,,9,0
2016,01,JAN,2016-01-01,GCLP,Gran Canaria,Spain,113,112,47,77,48
2016,01,JAN,2016-01-01,GCRR,Lanzarote,Spain,60,59,0,38,0
