YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,APT_ICAO,APT_NAME,STATE_NAME,FLT_DEP_1,FLT_DEP_IFR_2,DLY_ATC_PRE_2,FLT_DEP_3,DLY_ATC_PRE_3
2018,01,JAN,2018-01-01,EBAW,Antwerp,Belgium,4,,,2,0
2018,01,JAN,2018-01-01,EBBR,Brussels,Belgium,211,212,90,170,51
2018,01,JAN,2018-01-01,EBCI,Charleroi,Belgium,51,51,0,48,0
2018,01,JAN,2018-01-01,EBLG,Liège,Belgium,10,,,3,0
2018,01,JAN,2018-01-01,EBOS,Ostend-Bruges,Belgium,4,,,2,0
2018,01,JAN,2018-01-01,EDDB,Berlin - Brandenburg,Germany,118,,,96,18
2018,01,JAN,2018-01-01,EDDC,Dresden,Germany,19,,,15,0
2018,01,JAN,2018-01-01,EDDE,Erfurt,Germany,2,2,0,1,0
2018,01,JAN,2018-01-01,EDDF,Frankfurt,Germany,466,466,34,362,44
2018,01,JAN,2018-01-01,EDDG,Muenster-Osnabrueck,Germany,4,,,2,0
2018,01,JAN,2018-01-01,EDDH,Hamburg,Germany,137,137,42,122,82
2018,01,JAN,2018-01-01,EDDK,Cologne-Bonn,Germany,108,,,86,3
2018,01,JAN,2018-01-01,EDDL,Dusseldorf,Germany,168,,,130,19
2018,01,JAN,2018-01-01,EDDM,Munich,Germany,343,343,4,279,20
2018,01,JAN,2018-01-01,EDDN,Nuremberg,Germany,40,,,33,0
2018,01,JAN,2018-01-01,EDDP,Leipzig-Halle,Germany,23,25,0,12,0
2018,01,JAN,2018-01-01,EDDR,Saarbruecken,Germany,4,4,0,3,0
2018,01,JAN,2018-01-01,EDDS,Stuttgart,Germany,89,89,24,76,15
2018,01,JAN,2018-01-01,EDDT,Berlin - Tegel,Germany,121,,,104,23
2018,01,JAN,2018-01-01,EDDV,Hanover,Germany,37,38,12,31,12
2018,01,JAN,2018-01-01,EDDW,Bremen,Germany,12,12,0,11,0
2018,01,JAN,2018-01-01,EETN,Tallinn,Estonia,35,35,5,19,5
2018,01,JAN,2018-01-01,EFHK,Helsinki - Vantaa,Finland,194,197,0,177,0
2018,01,JAN,2018-01-01,EGAA,Belfast - Aldergrove,United Kingdom,55,,,51,7
2018,01,JAN,2018-01-01,EGAC,Belfast - City Airport,United Kingdom,43,,,42,15
2018,01,JAN,2018-01-01,EGAE,Londonderry - Eglinton,United Kingdom,3,,,2,0
2018,01,JAN,2018-01-01,EGBB,Birmingham,United Kingdom,101,101,17,87,29
2018,01,JAN,2018-01-01,EGCC,Manchester,United Kingdom,195,194,149,167,109
2018,01,JAN,2018-01-01,EGGD,Bristol,United Kingdom,68,68,1,61,5
2018,01,JAN,2018-01-01,EGGW,London - Luton,United Kingdom,150,,,122,57
2018,01,JAN,2018-01-01,EGHI,Southampton,United Kingdom,34,,,32,0
2018,01,JAN,2018-01-01,EGKB,Biggin Hill,United Kingdom,13,,,,
2018,01,JAN,2018-01-01,EGKK,London - Gatwick,United Kingdom,354,354,140,327,82
