YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,APT_ICAO,APT_NAME,STATE_NAME,FLT_DEP_1,FLT_DEP_IFR_2,DLY_ATC_PRE_2,FLT_DEP_3,DLY_ATC_PRE_3
2022,01,JAN,2022-01-01,EBAW,Antwerp,Belgium,9,,,2,0
2022,01,JAN,2022-01-01,EBBR,Brussels,Belgium,148,148,65,114,41
2022,01,JAN,2022-01-01,EBCI,Charleroi,Belgium,54,55,4,45,0
2022,01,JAN,2022-01-01,EBLG,Liège,Belgium,28,,,1,0
2022,01,JAN,2022-01-01,EBOS,Ostend-Bruges,Belgium,7,,,3,0
2022,01,JAN,2022-01-01,EDDB,Berlin - Brandenburg,Germany,148,148,13,110,6
2022,01,JAN,2022-01-01,EDDC,Dresden,Germany,5,5,0,4,0
2022,01,JAN,2022-01-01,EDDE,Erfurt,Germany,0,0,0,,
2022,01,JAN,2022-01-01,EDDF,Frankfurt,Germany,391,,,247,89
2022,01,JAN,2022-01-01,EDDG,Muenster-Osnabrueck,Germany,6,,,2,0
2022,01,JAN,2022-01-01,EDDH,Hamburg,Germany,78,,,64,3
2022,01,JAN,2022-01-01,EDDK,Cologne-Bonn,Germany,60,,,34,3
2022,01,JAN,2022-01-01,EDDL,Dusseldorf,Germany,103,103,0,68,4
2022,01,JAN,2022-01-01,EDDM,Munich,Germany,275,275,0,211,5
2022,01,JAN,2022-01-01,EDDN,Nuremberg,Germany,13,,,7,0
2022,01,JAN,2022-01-01,EDDP,Leipzig-Halle,Germany,43,43,7,6,0
2022,01,JAN,2022-01-01,EDDS,Stuttgart,Germany,43,42,0,29,0
2022,01,JAN,2022-01-01,EDDV,Hanover,Germany,29,,,17,0
2022,01,JAN,2022-01-01,EDDW,Bremen,Germany,11,13,2,8,0
2022,01,JAN,2022-01-01,EETN,Tallinn,Estonia,31,33,0,25,0
2022,01,JAN,2022-01-01,EFHK,Helsinki - Vantaa,Finland,140,140,21,123,37
2022,01,JAN,2022-01-01,EGAA,Belfast - Aldergrove,United Kingdom,34,,,33,3
2022,01,JAN,2022-01-01,EGAC,Belfast - City Airport,United Kingdom,12,,,9,0
2022,01,JAN,2022-01-01,EGBB,Birmingham,United Kingdom,47,47,0,41,0
2022,01,JAN,2022-01-01,EGCC,Manchester,United Kingdom,132,,,106,14
2022,01,JAN,2022-01-01,EGGD,Bristol,United Kingdom,44,44,0,42,3
2022,01,JAN,2022-01-01,EGGW,London - Luton,United Kingdom,110,110,7,94,12
2022,01,JAN,2022-01-01,EGHI,Southampton,United Kingdom,5,,,1,0
2022,01,JAN,2022-01-01,EGKB,Biggin Hill,United Kingdom,16,,,,
2022,01,JAN,2022-01-01,EGKK,London - Gatwick,United Kingdom,173,173,69,156,7
2022,01,JAN,2022-01-01,EGLC,London - City,United Kingdom,7,7,2,2,2
2022,01,JAN,2022-01-01,EGLF,Farnborough,United Kingdom,16,,,,
2022,01,JAN,2022-01-01,EGLL,London - Heathrow,United Kingdom,372,,,92,24
2022,01,JAN,2022-01-01,EGNT,Newcastle,United Kingdom,9,,,5,0
2022,01,JAN,2022-01-01,EGNX,East Midlands,United Kingdom,13,,,9,0
2022,01,JAN,2022-01-01,EGPD,Aberdeen,United Kingdom,9,9,0,5,0
2022,01,JAN,2022-01-01,EGPF,Glasgow,United Kingdom,29,33,0,23,0
2022,01,JAN,2022-01-01,EGPH,Edinburgh,United Kingdom,56,,,50,4
2022,01,JAN,2022-01-01,EGSS,London - Stansted,United Kingdom,160,,,131,0
2022,01,JAN,2022-01-01,EHAM,Amsterdam - Schiphol,Netherlands,433,,,349,147
2022,01,JAN,2022-01-01,EHBK,Maastricht-Aachen,Netherlands,7,,,,
2022,01,JAN,2022-01-01,EHRD,Rotterdam,Netherlands,14,,,7,0
2022,01,JAN,2022-01-01,EICK,Cork,Ireland,17,,,13,0
2022,01,JAN,2022-01-01,EIDL,Donegal,Ireland,2,,,,
2022,01,JAN,2022-01-01,EIDW,Dublin,Ireland,185,185,16,165,25
2022,01,JAN,2022-01-01,EIKN,Connaught,Ireland,7,,,7,0
2022,01,JAN,2022-01-01,EIKY,Kerry - Farranfore,Ireland,4,,,3,0
2022,01,JAN,2022-01-01,EINN,Shannon,Ireland,12,,,9,0
2022,01,JAN,2022-01-01,EKCH,Copenhagen - Kastrup,Denmark,138,138,13,107,13
2022,01,JAN,2022-01-01,ELLX,Luxembourg,Luxembourg,67,67,0,43,2
2022,01,JAN,2022-01-01,ENAL,Alesund,Norway,7,,,7,0
2022,01,JAN,2022-01-01,ENAN,Andenes,Norway,1,,,1,0
2022,01,JAN,2022-01-01,ENAT,Alta,Norway,1,,,,
2022,01,JAN,2022-01-01,ENBO,Bodø,Norway,8,,,4,0
2022,01,JAN,2022-01-01,ENBR,Bergen,Norway,52,,,45,0
2022,01,JAN,2022-01-01,ENCN,Kristiansand Kjevik,Norway,9,,,6,0
2022,01,JAN,2022-01-01,ENDU,Bardufoss,Norway,1,,,1,0
2022,01,JAN,2022-01-01,ENEV,Harstad - Narvik Evenes,Norway,5,,,3,0
2022,01,JAN,2022-01-01,ENGM,Oslo - Gardermoen,Norway,120,120,27,103,27
2022,01,JAN,2022-01-01,ENHD,Haugesund,Norway,2,,,2,0
2022,01,JAN,2022-01-01,ENHF,Hammerfest,Norway,1,,,,
2022,01,JAN,2022-01-01,ENKB,Kristiansund Kvernberget,Norway,5,,,1,0
2022,01,JAN,2022-01-01,ENKR,Kirkenes Høybuktmoen,Norway,1,,,,
2022,01,JAN,2022-01-01,ENMH,Mehamn,Norway,0,,,,
2022,01,JAN,2022-01-01,ENML,Molde Årø,Norway,3,,,3,0
2022,01,JAN,2022-01-01,ENNA,Lakselv Banak,Norway,1,,,1,0
2022,01,JAN,2022-01-01,ENRA,Mo i Rana Røssvoll,Norway,1,,,,
2022,01,JAN,2022-01-01,ENSK,Stokmarknes Skagen,Norway,2,,,,
2022,01,JAN,2022-01-01,ENST,Sandnessjøen Stokka,Norway,1,,,,
2022,01,JAN,2022-01-01,ENTC,Tromsø,Norway,23,,,13,0
2022,01,JAN,2022-01-01,ENVA,Trondheim,Norway,23,,,21,0
2022,01,JAN,2022-01-01,ENVR,Værøy,Norway,1,,,,
2022,01,JAN,2022-01-01,ENZV,Stavanger,Norway,32,,,17,0
2022,01,JAN,2022-01-01,EPBY,Bydgoszcz,Poland,1,,,1,0
2022,01,JAN,2022-01-01,EPGD,Gdansk,Poland,36,,,34,0
2022,01,JAN,2022-01-01,EPKK,Krakow - Balice,Poland,53,,,50,4
2022,01,JAN,2022-01-01,EPKT,Katowice - Pyrzowice,Poland,35,,,26,0
2022,01,JAN,2022-01-01,EPLB,Lublin,Poland,5,,,3,0
