YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,APT_ICAO,APT_NAME,STATE_NAME,FLT_DEP_1,FLT_DEP_IFR_2,DLY_ATC_PRE_2,FLT_DEP_3,DLY_ATC_PRE_3
2017,01,JAN,2017-01-01,EBAW,Antwerp,Belgium,4,,,2,0
2017,01,JAN,2017-01-01,EBBR,Brussels,Belgium,202,202,129,169,110
2017,01,JAN,2017-01-01,EBCI,Charleroi,Belgium,50,50,0,47,0
2017,01,JAN,2017-01-01,EBLG,Liège,Belgium,15,,,4,0
2017,01,JAN,2017-01-01,EBOS,Ostend-Bruges,Belgium,8,,,3,0
2017,01,JAN,2017-01-01,EDDB,Berlin - Brandenburg,Germany,129,,,104,9
2017,01,JAN,2017-01-01,EDDC,Dresden,Germany,15,,,11,0
2017,01,JAN,2017-01-01,EDDE,Erfurt,Germany,1,1,0,1,0
2017,01,JAN,2017-01-01,EDDF,Frankfurt,Germany,423,423,322,318,347
2017,01,JAN,2017-01-01,EDDG,Muenster-Osnabrueck,Germany,5,,,2,0
2017,01,JAN,2017-01-01,EDDH,Hamburg,Germany,136,136,15,105,34
2017,01,JAN,2017-01-01,EDDK,Cologne-Bonn,Germany,95,,,75,0
2017,01,JAN,2017-01-01,EDDL,Dusseldorf,Germany,203,,,137,21
2017,01,JAN,2017-01-01,EDDM,Munich,Germany,325,325,37,249,169
2017,01,JAN,2017-01-01,EDDN,Nuremberg,Germany,32,,,25,0
2017,01,JAN,2017-01-01,EDDP,Leipzig-Halle,Germany,44,45,7,23,0
2017,01,JAN,2017-01-01,EDDR,Saarbruecken,Germany,5,5,0,4,0
2017,01,JAN,2017-01-01,EDDS,Stuttgart,Germany,90,90,25,77,20
2017,01,JAN,2017-01-01,EDDT,Berlin - Tegel,Germany,177,,,163,30
2017,01,JAN,2017-01-01,EDDV,Hanover,Germany,48,49,6,37,0
2017,01,JAN,2017-01-01,EDDW,Bremen,Germany,18,18,0,15,0
2017,01,JAN,2017-01-01,EETN,Tallinn,Estonia,33,34,0,24,5
2017,01,JAN,2017-01-01,EFHK,Helsinki - Vantaa,Finland,170,173,17,84,17
2017,01,JAN,2017-01-01,EGAA,Belfast - Aldergrove,United Kingdom,56,,,53,13
2017,01,JAN,2017-01-01,EGAC,Belfast - City Airport,United Kingdom,38,,,37,0
2017,01,JAN,2017-01-01,EGAE,Londonderry - Eglinton,United Kingdom,3,,,3,0
2017,01,JAN,2017-01-01,EGBB,Birmingham,United Kingdom,109,109,0,72,20
2017,01,JAN,2017-01-01,EGCC,Manchester,United Kingdom,192,192,62,148,38
2017,01,JAN,2017-01-01,EGGD,Bristol,United Kingdom,72,71,0,65,0
2017,01,JAN,2017-01-01,EGGW,London - Luton,United Kingdom,148,,,121,61
2017,01,JAN,2017-01-01,EGHI,Southampton,United Kingdom,35,,,31,0
2017,01,JAN,2017-01-01,EGKB,Biggin Hill,United Kingdom,4,,,,
2017,01,JAN,2017-01-01,EGKK,London - Gatwick,United Kingdom,367,367,402,321,230
2017,01,JAN,2017-01-01,EGLC,London - City,United Kingdom,56,,,21,15
2017,01,JAN,2017-01-01,EGLF,Farnborough,United Kingdom,15,,,,
2017,01,JAN,2017-01-01,EGLL,London - Heathrow,United Kingdom,569,,,446,187
2017,01,JAN,2017-01-01,EGNT,Newcastle,United Kingdom,42,,,32,0
