YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,APT_ICAO,APT_NAME,STATE_NAME,FLT_DEP_1,FLT_DEP_IFR_2,DLY_ATC_PRE_2,FLT_DEP_3,DLY_ATC_PRE_3
2021,01,JAN,2021-01-01,EBBR,Brussels,Belgium,57,,,28,22
2021,01,JAN,2021-01-01,EBCI,Charleroi,Belgium,27,27,0,12,8
2021,01,JAN,2021-01-01,EBLG,Liège,Belgium,18,,,,
2021,01,JAN,2021-01-01,EBOS,Ostend-Bruges,Belgium,1,,,,
2021,01,JAN,2021-01-01,EDDB,Berlin - Brandenburg,Germany,45,45,0,30,0
2021,01,JAN,2021-01-01,EDDE,Erfurt,Germany,0,0,0,,
2021,01,JAN,2021-01-01,EDDF,Frankfurt,Germany,144,144,43,67,35
2021,01,JAN,2021-01-01,EDDG,Muenster-Osnabrueck,Germany,1,,,1,0
2021,01,JAN,2021-01-01,EDDH,Hamburg,Germany,22,22,1,17,1
2021,01,JAN,2021-01-01,EDDK,Cologne-Bonn,Germany,26,,,7,0
2021,01,JAN,2021-01-01,EDDL,Dusseldorf,Germany,28,28,0,21,0
2021,01,JAN,2021-01-01,EDDM,Munich,Germany,49,,,38,0
2021,01,JAN,2021-01-01,EDDN,Nuremberg,Germany,6,,,1,0
2021,01,JAN,2021-01-01,EDDP,Leipzig-Halle,Germany,22,22,2,,
2021,01,JAN,2021-01-01,EDDS,Stuttgart,Germany,11,,,9,0
2021,01,JAN,2021-01-01,EDDV,Hanover,Germany,5,,,5,0
2021,01,JAN,2021-01-01,EDDW,Bremen,Germany,1,2,0,1,0
2021,01,JAN,2021-01-01,EETN,Tallinn,Estonia,10,,,5,0
2021,01,JAN,2021-01-01,EFHK,Helsinki - Vantaa,Finland,36,,,32,0
2021,01,JAN,2021-01-01,EGAA,Belfast - Aldergrove,United Kingdom,16,,,15,0
2021,01,JAN,2021-01-01,EGAC,Belfast - City Airport,United Kingdom,10,,,2,0
2021,01,JAN,2021-01-01,EGAE,Londonderry - Eglinton,United Kingdom,1,,,,
2021,01,JAN,2021-01-01,EGBB,Birmingham,United Kingdom,10,10,0,7,1
2021,01,JAN,2021-01-01,EGCC,Manchester,United Kingdom,33,33,3,18,0
2021,01,JAN,2021-01-01,EGGD,Bristol,United Kingdom,21,22,0,17,0
2021,01,JAN,2021-01-01,EGGW,London - Luton,United Kingdom,22,22,0,12,0
2021,01,JAN,2021-01-01,EGHI,Southampton,United Kingdom,1,,,,
2021,01,JAN,2021-01-01,EGKB,Biggin Hill,United Kingdom,2,,,,
2021,01,JAN,2021-01-01,EGKK,London - Gatwick,United Kingdom,42,,,32,0
2021,01,JAN,2021-01-01,EGLC,London - City,United Kingdom,3,3,0,2,0
2021,01,JAN,2021-01-01,EGLF,Farnborough,United Kingdom,4,,,,
2021,01,JAN,2021-01-01,EGLL,London - Heathrow,United Kingdom,131,,,44,23
2021,01,JAN,2021-01-01,EGNT,Newcastle,United Kingdom,8,,,4,0
2021,01,JAN,2021-01-01,EGNX,East Midlands,United Kingdom,11,,,1,0
2021,01,JAN,2021-01-01,EGPD,Aberdeen,United Kingdom,2,2,0,1,0
2021,01,JAN,2021-01-01,EGPF,Glasgow,United Kingdom,10,11,0,7,0
2021,01,JAN,2021-01-01,EGPH,Edinburgh,United Kingdom,18,,,12,0
2021,01,JAN,2021-01-01,EGSS,London - Stansted,United Kingdom,47,,,21,0
2021,01,JAN,2021-01-01,EHAM,Amsterdam - Schiphol,Netherlands,241,,,182,112
2021,01,JAN,2021-01-01,EHBK,Maastricht-Aachen,Netherlands,7,,,1,0
2021,01,JAN,2021-01-01,EHRD,Rotterdam,Netherlands,5,,,,
2021,01,JAN,2021-01-01,EICK,Cork,Ireland,6,,,2,0
2021,01,JAN,2021-01-01,EIDL,Donegal,Ireland,1,,,,
2021,01,JAN,2021-01-01,EIDW,Dublin,Ireland,74,,,32,0
2021,01,JAN,2021-01-01,EIKN,Connaught,Ireland,1,,,,
