YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,APT_ICAO,APT_NAME,STATE_NAME,FLT_DEP_1,FLT_DEP_IFR_2,DLY_ATC_PRE_2,FLT_DEP_3,DLY_ATC_PRE_3
2020,01,JAN,2020-01-01,EBAW,Antwerp,Belgium,5,,,4,7
2020,01,JAN,2020-01-01,EBBR,Brussels,Belgium,202,201,53,163,21
2020,01,JAN,2020-01-01,EBCI,Charleroi,Belgium,63,63,5,55,4
2020,01,JAN,2020-01-01,EBLG,Liège,Belgium,9,,,,
2020,01,JAN,2020-01-01,EBOS,Ostend-Bruges,Belgium,6,,,3,0
2020,01,JAN,2020-01-01,EDDB,Berlin - Brandenburg,Germany,95,,,75,18
2020,01,JAN,2020-01-01,EDDC,Dresden,Germany,13,13,0,10,0
2020,01,JAN,2020-01-01,EDDF,Frankfurt,Germany,423,423,67,329,77
2020,01,JAN,2020-01-01,EDDG,Muenster-Osnabrueck,Germany,5,,,3,0
2020,01,JAN,2020-01-01,EDDH,Hamburg,Germany,110,110,35,99,16
2020,01,JAN,2020-01-01,EDDK,Cologne-Bonn,Germany,90,,,70,0
2020,01,JAN,2020-01-01,EDDL,Dusseldorf,Germany,188,189,4,145,20
2020,01,JAN,2020-01-01,EDDM,Munich,Germany,328,328,0,257,2
2020,01,JAN,2020-01-01,EDDN,Nuremberg,Germany,39,39,7,30,7
2020,01,JAN,2020-01-01,EDDP,Leipzig-Halle,Germany,29,29,0,11,0
2020,01,JAN,2020-01-01,EDDR,Saarbruecken,Germany,3,3,0,2,0
2020,01,JAN,2020-01-01,EDDS,Stuttgart,Germany,87,87,11,68,12
2020,01,JAN,2020-01-01,EDDT,Berlin - Tegel,Germany,183,,,164,53
2020,01,JAN,2020-01-01,EDDV,Hanover,Germany,40,40,5,30,5
2020,01,JAN,2020-01-01,EDDW,Bremen,Germany,20,20,0,19,0
2020,01,JAN,2020-01-01,EETN,Tallinn,Estonia,42,43,0,33,0
2020,01,JAN,2020-01-01,EETU,Tartu,Estonia,0,,,,
2020,01,JAN,2020-01-01,EFHK,Helsinki - Vantaa,Finland,210,220,6,117,6
2020,01,JAN,2020-01-01,EGAA,Belfast - Aldergrove,United Kingdom,52,,,48,6
2020,01,JAN,2020-01-01,EGAC,Belfast - City Airport,United Kingdom,32,,,32,0
2020,01,JAN,2020-01-01,EGAE,Londonderry - Eglinton,United Kingdom,2,,,,
2020,01,JAN,2020-01-01,EGBB,Birmingham,United Kingdom,84,83,0,72,1
2020,01,JAN,2020-01-01,EGCC,Manchester,United Kingdom,173,173,51,146,62
2020,01,JAN,2020-01-01,EGGD,Bristol,United Kingdom,70,70,0,63,31
2020,01,JAN,2020-01-01,EGGW,London - Luton,United Kingdom,164,165,23,146,54
2020,01,JAN,2020-01-01,EGHI,Southampton,United Kingdom,22,,,19,0
2020,01,JAN,2020-01-01,EGKB,Biggin Hill,United Kingdom,5,,,,
2020,01,JAN,2020-01-01,EGKK,London - Gatwick,United Kingdom,325,325,142,296,138
2020,01,JAN,2020-01-01,EGLC,London - City,United Kingdom,54,54,0,51,5
2020,01,JAN,2020-01-01,EGLF,Farnborough,United Kingdom,14,,,,
2020,01,JAN,2020-01-01,EGLL,London - Heathrow,United Kingdom,592,,,466,77
2020,01,JAN,2020-01-01,EGNT,Newcastle,United Kingdom,32,,,27,7
2020,01,JAN,2020-01-01,EGNX,East Midlands,United Kingdom,18,,,14,0
2020,01,JAN,2020-01-01,EGPD,Aberdeen,United Kingdom,27,27,0,24,0
2020,01,JAN,2020-01-01,EGPF,Glasgow,United Kingdom,59,61,0,48,0
2020,01,JAN,2020-01-01,EGPH,Edinburgh,United Kingdom,115,,,103,25
2020,01,JAN,2020-01-01,EGSS,London - Stansted,United Kingdom,196,,,173,10
2020,01,JAN,2020-01-01,EHAM,Amsterdam - Schiphol,Netherlands,604,,,495,1303
2020,01,JAN,2020-01-01,EHBK,Maastricht-Aachen,Netherlands,10,,,4,0
2020,01,JAN,2020-01-01,EHGG,Groningen,Netherlands,1,,,,
2020,01,JAN,2020-01-01,EHRD,Rotterdam,Netherlands,19,,,1,0
2020,01,JAN,2020-01-01,EICK,Cork,Ireland,27,,,15,0
2020,01,JAN,2020-01-01,EIDL,Donegal,Ireland,1,,,,
2020,01,JAN,2020-01-01,EIDW,Dublin,Ireland,254,254,58,217,97
2020,01,JAN,2020-01-01,EIKN,Connaught,Ireland,8,,,7,0
2020,01,JAN,2020-01-01,EIKY,Kerry - Farranfore,Ireland,2,,,1,0
2020,01,JAN,2020-01-01,EINN,Shannon,Ireland,13,,,9,0
2020,01,JAN,2020-01-01,EKCH,Copenhagen - Kastrup,Denmark,230,230,10,194,13
2020,01,JAN,2020-01-01,ELLX,Luxembourg,Luxembourg,65,65,0,53,0
2020,01,JAN,2020-01-01,ENAL,Alesund,Norway,7,,,7,0
2020,01,JAN,2020-01-01,ENAN,Andenes,Norway,2,,,2,0
2020,01,JAN,2020-01-01,ENAT,Alta,Norway,7,,,5,0
2020,01,JAN,2020-01-01,ENBL,Forde Bringeland,Norway,4,,,4,0
2020,01,JAN,2020-01-01,ENBN,Bronnoysund Bronnoy,Norway,4,,,3,0
2020,01,JAN,2020-01-01,ENBO,Bodø,Norway,38,,,35,0
2020,01,JAN,2020-01-01,ENBR,Bergen,Norway,89,,,72,0
2020,01,JAN,2020-01-01,ENBS,Batsfjord,Norway,3,,,3,0
2020,01,JAN,2020-01-01,ENBV,Berlevåg,Norway,3,,,3,0
2020,01,JAN,2020-01-01,ENCN,Kristiansand Kjevik,Norway,11,,,11,0
2020,01,JAN,2020-01-01,ENDU,Bardufoss,Norway,2,,,2,0
2020,01,JAN,2020-01-01,ENEV,Harstad - Narvik Evenes,Norway,5,,,5,0
2020,01,JAN,2020-01-01,ENFL,Florø,Norway,9,,,4,0
2020,01,JAN,2020-01-01,ENGM,Oslo - Gardermoen,Norway,254,254,32,238,35
2020,01,JAN,2020-01-01,ENHD,Haugesund,Norway,5,,,5,0
2020,01,JAN,2020-01-01,ENHF,Hammerfest,Norway,12,,,10,0
2020,01,JAN,2020-01-01,ENHV,Honningsvåg Valan,Norway,3,,,3,0
2020,01,JAN,2020-01-01,ENKB,Kristiansund Kvernberget,Norway,3,,,2,0
2020,01,JAN,2020-01-01,ENKR,Kirkenes Høybuktmoen,Norway,10,,,6,0
2020,01,JAN,2020-01-01,ENLK,Leknes,Norway,7,,,6,0
2020,01,JAN,2020-01-01,ENMH,Mehamn,Norway,4,,,3,0
2020,01,JAN,2020-01-01,ENML,Molde Årø,Norway,4,,,4,0
2020,01,JAN,2020-01-01,ENNA,Lakselv Banak,Norway,2,,,2,0
2020,01,JAN,2020-01-01,ENNM,Namsos Høknesøra,Norway,1,,,1,0
