YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,ENTITY_NAME,ENTITY_TYPE,FLT_ERT_1,DLY_ERT_1,DLY_ERT_A_1,DLY_ERT_C_1,DLY_ERT_D_1,DLY_ERT_E_1,DLY_ERT_G_1,DLY_ERT_I_1,DLY_ERT_M_1,DLY_ERT_N_1,DLY_ERT_O_1,DLY_ERT_P_1,DLY_ERT_R_1,DLY_ERT_S_1,DLY_ERT_T_1,DLY_ERT_V_1,DLY_ERT_W_1,DLY_ERT_NA_1,FLT_ERT_1_DLY,FLT_ERT_1_DLY_15
2024,1,JAN,2024-01-01T00:00:00Z,Albania,COUNTRY (FIR),584,,,,,,,,,,,,,,,,,,,
2024,1,JAN,2024-01-01T00:00:00Z,Armenia,COUNTRY (FIR),156,,,,,,,,,,,,,,,,,,,
2024,1,JAN,2024-01-01T00:00:00Z,Austria,COUNTRY (FIR),2922,,,,,,,,,,,,,,,,,,,
2024,1,JAN,2024-01-01T00:00:00Z,BLUE MED FAB,FAB (FIR),5636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,JAN,2024-01-01T00:00:00Z,Baltic FAB,FAB (FIR),1718,,,,,,,,,,,,,,,,,,,
2024,1,JAN,2024-01-01T00:00:00Z,Belgium,COUNTRY (FIR),2575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,JAN,2024-01-01T00:00:00Z,Bosnia and Herzegovina,COUNTRY (FIR),961,,,,,,,,,,,,,,,,,,,
2024,1,JAN,2024-01-01T00:00:00Z,Bulgaria,COUNTRY (FIR),2007,,,,,,,,,,,,,,,,,,,
2024,1,JAN,2024-01-01T00:00:00Z,Croatia,COUNTRY (FIR),1519,,,,,,,,,,,,,,,,,,,
2024,1,JAN,2024-01-01T00:00:00Z,Cyprus,COUNTRY (FIR),705,,,,,,,,,,,,,,,,,,,
2024,1,JAN,2024-01-01T00:00:00Z,Czech Republic,COUNTRY (FIR),1530,,,,,,,,,,,,,,,,,,,
2024,1,JAN,2024-01-01T00:00:00Z,DANUBE FAB,FAB (FIR),2338,,,,,,,,,,,,,,,,,,,
2024,1,JAN,2024-01-01T00:00:00Z,DK-SE FAB,FAB (FIR),1857,,,,,,,,,,,,,,,,,,,
2024,1,JAN,2024-01-01T00:00:00Z,Denmark,COUNTRY (FIR),1283,,,,,,,,,,,,,,,,,,,
2024,1,JAN,2024-01-01T00:00:00Z,Estonia,COUNTRY (FIR),345,,,,,,,,,,,,,,,,,,,
2024,1,JAN,2024-01-01T00:00:00Z,FAB CE,FAB (FIR),4895,,,,,,,,,,,,,,,,,,,
2024,1,JAN,2024-01-01T00:00:00Z,FAB CE (SES RP1),FAB (FIR),4345,,,,,,,,,,,,,,,,,,,
2024,1,JAN,2024-01-01T00:00:00Z,FAB CE (SES RP2),FAB (FIR),4882,,,,,,,,,,,,,,,,,,,
2024,1,JAN,2024-01-01T00:00:00Z,FABEC,FAB (FIR),12266,3262,0,2559,0,0,0,0,0,0,155,0,0,378,0,170,0,0,337,62
