YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,ENTITY_NAME,ENTITY_TYPE,FLT_ERT_1,DLY_ERT_1,DLY_ERT_A_1,DLY_ERT_C_1,DLY_ERT_D_1,DLY_ERT_E_1,DLY_ERT_G_1,DLY_ERT_I_1,DLY_ERT_M_1,DLY_ERT_N_1,DLY_ERT_O_1,DLY_ERT_P_1,DLY_ERT_R_1,DLY_ERT_S_1,DLY_ERT_T_1,DLY_ERT_V_1,DLY_ERT_W_1,DLY_ERT_NA_1,FLT_ERT_1_DLY,FLT_ERT_1_DLY_15
2016,1,JAN,2016-01-01T00:00:00Z,Albania,COUNTRY (FIR),315,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Armenia,COUNTRY (FIR),53,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Austria,COUNTRY (FIR),1845,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Baltic FAB,FAB (FIR),1415,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Belgium,COUNTRY (FIR),2121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,JAN,2016-01-01T00:00:00Z,BLUE MED FAB,FAB (FIR),3925,453,0,0,0,0,0,0,0,0,0,0,0,453,0,0,0,0,24,12
2016,1,JAN,2016-01-01T00:00:00Z,Bosnia and Herzegovina,COUNTRY (FIR),458,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Bulgaria,COUNTRY (FIR),1223,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Croatia,COUNTRY (FIR),772,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Cyprus,COUNTRY (FIR),575,453,0,0,0,0,0,0,0,0,0,0,0,453,0,0,0,0,24,12
2016,1,JAN,2016-01-01T00:00:00Z,Czech Republic,COUNTRY (FIR),1279,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,DANUBE FAB,FAB (FIR),1358,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Denmark,COUNTRY (FIR),984,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,DK-SE FAB,FAB (FIR),1463,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Estonia,COUNTRY (FIR),361,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,FAB CE,FAB (FIR),3228,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,FAB CE (SES RP1),FAB (FIR),2943,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,FAB CE (SES RP2),FAB (FIR),3219,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,FABEC,FAB (FIR),9762,11390,0,533,0,0,0,0,0,0,0,10857,0,0,0,0,0,0,732,290
2016,1,JAN,2016-01-01T00:00:00Z,Finland,COUNTRY (FIR),423,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,France,COUNTRY (FIR),5584,10923,0,66,0,0,0,0,0,0,0,10857,0,0,0,0,0,0,695,279
2016,1,JAN,2016-01-01T00:00:00Z,Georgia,COUNTRY (FIR),219,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Germany,COUNTRY (FIR),5014,467,0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,11
2016,1,JAN,2016-01-01T00:00:00Z,Greece,COUNTRY (FIR),1041,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Hungary,COUNTRY (FIR),1209,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Ireland,COUNTRY (FIR),990,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Italy,COUNTRY (FIR),2980,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Latvia,COUNTRY (FIR),423,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Lithuania,COUNTRY (FIR),475,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Malta,COUNTRY (FIR),234,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Moldova,COUNTRY (FIR),49,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,NEFAB,FAB (FIR),1657,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Netherlands,COUNTRY (FIR),2265,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Norway,COUNTRY (FIR),954,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Poland,COUNTRY (FIR),1265,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Portugal,COUNTRY (FIR),1410,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Portugal Continental,COUNTRY (FIR),1183,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Portugal Santa Maria,COUNTRY (FIR),400,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Romania,COUNTRY (FIR),947,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Serbia and Montenegro,COUNTRY (FIR),912,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,SES Area (RP2),AREA (FIR),15485,11855,0,545,0,0,0,0,0,0,0,10857,0,453,0,0,0,0,758,302
2016,1,JAN,2016-01-01T00:00:00Z,Slovakia,COUNTRY (FIR),784,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Slovenia,COUNTRY (FIR),506,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Spain,COUNTRY (FIR),3414,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2016,1,JAN,2016-01-01T00:00:00Z,Spain Canarias,COUNTRY (FIR),728,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Spain Continental,COUNTRY (FIR),3192,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2016,1,JAN,2016-01-01T00:00:00Z,SW FAB,FAB (FIR),3540,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2016,1,JAN,2016-01-01T00:00:00Z,Sweden,COUNTRY (FIR),1092,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Switzerland,COUNTRY (FIR),2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,JAN,2016-01-01T00:00:00Z,The former Yugoslav Republic of Macedonia,COUNTRY (FIR),172,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Turkey,COUNTRY (FIR),2330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,JAN,2016-01-01T00:00:00Z,UK-Ireland FAB,FAB (FIR),4251,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,UK Continental,COUNTRY (FIR),4200,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,UK Oceanic,COUNTRY (FIR),904,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,Ukraine,COUNTRY (FIR),208,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-01T00:00:00Z,United Kingdom,COUNTRY (FIR),4384,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-02T00:00:00Z,Albania,COUNTRY (FIR),433,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-02T00:00:00Z,Armenia,COUNTRY (FIR),98,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-02T00:00:00Z,Austria,COUNTRY (FIR),2769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,JAN,2016-01-02T00:00:00Z,Baltic FAB,FAB (FIR),2102,1474,0,1474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,40
2016,1,JAN,2016-01-02T00:00:00Z,Belgium,COUNTRY (FIR),2684,345,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6
2016,1,JAN,2016-01-02T00:00:00Z,BLUE MED FAB,FAB (FIR),5017,480,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,22,14
2016,1,JAN,2016-01-02T00:00:00Z,Bosnia and Herzegovina,COUNTRY (FIR),674,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-02T00:00:00Z,Bulgaria,COUNTRY (FIR),1637,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-02T00:00:00Z,Croatia,COUNTRY (FIR),1090,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-02T00:00:00Z,Cyprus,COUNTRY (FIR),720,480,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,22,14
2016,1,JAN,2016-01-02T00:00:00Z,Czech Republic,COUNTRY (FIR),1741,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-02T00:00:00Z,DANUBE FAB,FAB (FIR),1896,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-02T00:00:00Z,Denmark,COUNTRY (FIR),1315,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-02T00:00:00Z,DK-SE FAB,FAB (FIR),1845,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-02T00:00:00Z,Estonia,COUNTRY (FIR),469,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-02T00:00:00Z,FAB CE,FAB (FIR),4608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,JAN,2016-01-02T00:00:00Z,FAB CE (SES RP1),FAB (FIR),4213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,JAN,2016-01-02T00:00:00Z,FAB CE (SES RP2),FAB (FIR),4600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,JAN,2016-01-02T00:00:00Z,FABEC,FAB (FIR),12674,29423,0,4419,0,0,0,0,0,0,2775,20078,0,2151,0,0,0,0,1291,724
2016,1,JAN,2016-01-02T00:00:00Z,Finland,COUNTRY (FIR),481,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-02T00:00:00Z,France,COUNTRY (FIR),7323,26633,0,3780,0,0,0,0,0,0,2775,20078,0,0,0,0,0,0,1070,669
2016,1,JAN,2016-01-02T00:00:00Z,Georgia,COUNTRY (FIR),301,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-02T00:00:00Z,Germany,COUNTRY (FIR),6714,2151,0,0,0,0,0,0,0,0,0,0,0,2151,0,0,0,0,165,43
2016,1,JAN,2016-01-02T00:00:00Z,Greece,COUNTRY (FIR),1261,,,,,,,,,,,,,,,,,,,
2016,1,JAN,2016-01-02T00:00:00Z,Hungary,COUNTRY (FIR),1605,,,,,,,,,,,,,,,,,,,
