YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,ENTITY_NAME,ENTITY_TYPE,FLT_ERT_1,DLY_ERT_1,DLY_ERT_A_1,DLY_ERT_C_1,DLY_ERT_D_1,DLY_ERT_E_1,DLY_ERT_G_1,DLY_ERT_I_1,DLY_ERT_M_1,DLY_ERT_N_1,DLY_ERT_O_1,DLY_ERT_P_1,DLY_ERT_R_1,DLY_ERT_S_1,DLY_ERT_T_1,DLY_ERT_V_1,DLY_ERT_W_1,DLY_ERT_NA_1,FLT_ERT_1_DLY,FLT_ERT_1_DLY_15
2019,1,JAN,2019-01-01T00:00:00Z,Albania,COUNTRY (FIR),353,,,,,,,,,,,,,,,,,,,
2019,1,JAN,2019-01-01T00:00:00Z,Armenia,COUNTRY (FIR),161,,,,,,,,,,,,,,,,,,,
2019,1,JAN,2019-01-01T00:00:00Z,Austria,COUNTRY (FIR),2247,,,,,,,,,,,,,,,,,,,
2019,1,JAN,2019-01-01T00:00:00Z,Baltic FAB,FAB (FIR),2019,111,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
2019,1,JAN,2019-01-01T00:00:00Z,Belgium,COUNTRY (FIR),2446,605,0,356,0,0,0,0,0,0,0,0,0,249,0,0,0,0,50,14
2019,1,JAN,2019-01-01T00:00:00Z,BLUE MED FAB,FAB (FIR),4673,646,0,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,18
2019,1,JAN,2019-01-01T00:00:00Z,Bosnia and Herzegovina,COUNTRY (FIR),692,,,,,,,,,,,,,,,,,,,
2019,1,JAN,2019-01-01T00:00:00Z,Bulgaria,COUNTRY (FIR),1616,,,,,,,,,,,,,,,,,,,
2019,1,JAN,2019-01-01T00:00:00Z,Croatia,COUNTRY (FIR),1075,,,,,,,,,,,,,,,,,,,
2019,1,JAN,2019-01-01T00:00:00Z,Cyprus,COUNTRY (FIR),832,646,0,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,18
2019,1,JAN,2019-01-01T00:00:00Z,Czech Republic,COUNTRY (FIR),1710,,,,,,,,,,,,,,,,,,,
2019,1,JAN,2019-01-01T00:00:00Z,DANUBE FAB,FAB (FIR),1873,,,,,,,,,,,,,,,,,,,
2019,1,JAN,2019-01-01T00:00:00Z,Denmark,COUNTRY (FIR),1263,,,,,,,,,,,,,,,,,,,
2019,1,JAN,2019-01-01T00:00:00Z,DK-SE FAB,FAB (FIR),2011,,,,,,,,,,,,,,,,,,,
2019,1,JAN,2019-01-01T00:00:00Z,Estonia,COUNTRY (FIR),465,,,,,,,,,,,,,,,,,,,
2019,1,JAN,2019-01-01T00:00:00Z,FAB CE,FAB (FIR),4169,,,,,,,,,,,,,,,,,,,
2019,1,JAN,2019-01-01T00:00:00Z,FAB CE (SES RP1),FAB (FIR),3751,,,,,,,,,,,,,,,,,,,
