YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,ENTITY_NAME,ENTITY_TYPE,FLT_ERT_1,DLY_ERT_1,DLY_ERT_A_1,DLY_ERT_C_1,DLY_ERT_D_1,DLY_ERT_E_1,DLY_ERT_G_1,DLY_ERT_I_1,DLY_ERT_M_1,DLY_ERT_N_1,DLY_ERT_O_1,DLY_ERT_P_1,DLY_ERT_R_1,DLY_ERT_S_1,DLY_ERT_T_1,DLY_ERT_V_1,DLY_ERT_W_1,DLY_ERT_NA_1,FLT_ERT_1_DLY,FLT_ERT_1_DLY_15
2026,1,JAN,2026-01-01T00:00:00Z,Albania,COUNTRY (FIR),798,,,,,,,,,,,,,,,,,,,
2026,1,JAN,2026-01-01T00:00:00Z,Armenia,COUNTRY (FIR),289,,,,,,,,,,,,,,,,,,,
2026,1,JAN,2026-01-01T00:00:00Z,Austria,COUNTRY (FIR),3429,,,,,,,,,,,,,,,,,,,
2026,1,JAN,2026-01-01T00:00:00Z,BLUE MED FAB,FAB (FIR),6674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,1,JAN,2026-01-01T00:00:00Z,Baltic FAB,FAB (FIR),1933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,1,JAN,2026-01-01T00:00:00Z,Belgium,COUNTRY (FIR),2897,582,0,0,0,0,0,0,0,0,0,0,0,582,0,0,0,0,56,9
2026,1,JAN,2026-01-01T00:00:00Z,Bosnia and Herzegovina,COUNTRY (FIR),1302,,,,,,,,,,,,,,,,,,,
2026,1,JAN,2026-01-01T00:00:00Z,Bulgaria,COUNTRY (FIR),2427,,,,,,,,,,,,,,,,,,,
2026,1,JAN,2026-01-01T00:00:00Z,Croatia,COUNTRY (FIR),2084,,,,,,,,,,,,,,,,,,,
2026,1,JAN,2026-01-01T00:00:00Z,Cyprus,COUNTRY (FIR),1166,,,,,,,,,,,,,,,,,,,
2026,1,JAN,2026-01-01T00:00:00Z,Czech Republic,COUNTRY (FIR),1750,,,,,,,,,,,,,,,,,,,
2026,1,JAN,2026-01-01T00:00:00Z,DANUBE FAB,FAB (FIR),2830,,,,,,,,,,,,,,,,,,,
2026,1,JAN,2026-01-01T00:00:00Z,DK-SE FAB,FAB (FIR),1838,38,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2026,1,JAN,2026-01-01T00:00:00Z,Denmark,COUNTRY (FIR),1252,38,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2026,1,JAN,2026-01-01T00:00:00Z,Estonia,COUNTRY (FIR),434,,,,,,,,,,,,,,,,,,,
2026,1,JAN,2026-01-01T00:00:00Z,FAB CE,FAB (FIR),5834,,,,,,,,,,,,,,,,,,,
2026,1,JAN,2026-01-01T00:00:00Z,FAB CE (SES RP1),FAB (FIR),5095,,,,,,,,,,,,,,,,,,,
2026,1,JAN,2026-01-01T00:00:00Z,FAB CE (SES RP2),FAB (FIR),5818,,,,,,,,,,,,,,,,,,,
2026,1,JAN,2026-01-01T00:00:00Z,FABEC,FAB (FIR),12926,8426,0,5326,0,0,0,0,0,0,149,57,0,2894,0,0,0,0,809,163
2026,1,JAN,2026-01-01T00:00:00Z,Finland,COUNTRY (FIR),613,,,,,,,,,,,,,,,,,,,
2026,1,JAN,2026-01-01T00:00:00Z,France,COUNTRY (FIR),7862,5960,0,3442,0,0,0,0,0,0,149,57,0,2312,0,0,0,0,522,130
2026,1,JAN,2026-01-01T00:00:00Z,Georgia,COUNTRY (FIR),689,37,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2026,1,JAN,2026-01-01T00:00:00Z,Germany,COUNTRY (FIR),6032,1884,0,1884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,24
2026,1,JAN,2026-01-01T00:00:00Z,Greece,COUNTRY (FIR),1992,,,,,,,,,,,,,,,,,,,
2026,1,JAN,2026-01-01T00:00:00Z,Hungary,COUNTRY (FIR),2528,,,,,,,,,,,,,,,,,,,
2026,1,JAN,2026-01-01T00:00:00Z,Iceland,COUNTRY (FIR),297,,,,,,,,,,,,,,,,,,,
2026,1,JAN,2026-01-01T00:00:00Z,Ireland,COUNTRY (FIR),1536,,,,,,,,,,,,,,,,,,,
2026,1,JAN,2026-01-01T00:00:00Z,Italy,COUNTRY (FIR),4894,,,,,,,,,,,,,,,,,,,
2026,1,JAN,2026-01-01T00:00:00Z,Latvia,COUNTRY (FIR),576,,,,,,,,,,,,,,,,,,,
2026,1,JAN,2026-01-01T00:00:00Z,Lithuania,COUNTRY (FIR),507,,,,,,,,,,,,,,,,,,,
2026,1,JAN,2026-01-01T00:00:00Z,Malta,COUNTRY (FIR),396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,1,JAN,2026-01-01T00:00:00Z,Moldova,COUNTRY (FIR),85,,,,,,,,,,,,,,,,,,,
2026,1,JAN,2026-01-01T00:00:00Z,NEFAB,FAB (FIR),1961,,,,,,,,,,,,,,,,,,,
