YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,ENTITY_NAME,ENTITY_TYPE,FLT_ERT_1,DLY_ERT_1,DLY_ERT_A_1,DLY_ERT_C_1,DLY_ERT_D_1,DLY_ERT_E_1,DLY_ERT_G_1,DLY_ERT_I_1,DLY_ERT_M_1,DLY_ERT_N_1,DLY_ERT_O_1,DLY_ERT_P_1,DLY_ERT_R_1,DLY_ERT_S_1,DLY_ERT_T_1,DLY_ERT_V_1,DLY_ERT_W_1,DLY_ERT_NA_1,FLT_ERT_1_DLY,FLT_ERT_1_DLY_15
2017,1,JAN,2017-01-01T00:00:00Z,Albania,COUNTRY (FIR),376,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Armenia,COUNTRY (FIR),121,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Austria,COUNTRY (FIR),2153,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Baltic FAB,FAB (FIR),1653,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Belgium,COUNTRY (FIR),2482,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,BLUE MED FAB,FAB (FIR),4479,2483,0,398,0,0,0,0,0,0,0,0,0,2085,0,0,0,0,116,64
2017,1,JAN,2017-01-01T00:00:00Z,Bosnia and Herzegovina,COUNTRY (FIR),609,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Bulgaria,COUNTRY (FIR),1552,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Croatia,COUNTRY (FIR),969,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Cyprus,COUNTRY (FIR),815,2483,0,398,0,0,0,0,0,0,0,0,0,2085,0,0,0,0,116,64
2017,1,JAN,2017-01-01T00:00:00Z,Czech Republic,COUNTRY (FIR),1565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,JAN,2017-01-01T00:00:00Z,DANUBE FAB,FAB (FIR),1748,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Denmark,COUNTRY (FIR),1225,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,DK-SE FAB,FAB (FIR),1909,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Estonia,COUNTRY (FIR),455,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,FAB CE,FAB (FIR),3859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,JAN,2017-01-01T00:00:00Z,FAB CE (SES RP1),FAB (FIR),3472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,JAN,2017-01-01T00:00:00Z,FAB CE (SES RP2),FAB (FIR),3849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,JAN,2017-01-01T00:00:00Z,FABEC,FAB (FIR),11406,4132,0,2764,0,0,22,0,0,0,0,0,0,1346,0,0,0,0,299,93
2017,1,JAN,2017-01-01T00:00:00Z,Finland,COUNTRY (FIR),507,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,France,COUNTRY (FIR),6573,1999,0,1977,0,0,22,0,0,0,0,0,0,0,0,0,0,0,138,51
2017,1,JAN,2017-01-01T00:00:00Z,Georgia,COUNTRY (FIR),285,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Germany,COUNTRY (FIR),5839,823,0,315,0,0,0,0,0,0,0,0,0,508,0,0,0,0,62,17
2017,1,JAN,2017-01-01T00:00:00Z,Greece,COUNTRY (FIR),1159,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Hungary,COUNTRY (FIR),1487,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Ireland,COUNTRY (FIR),1162,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Italy,COUNTRY (FIR),3332,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Latvia,COUNTRY (FIR),545,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Lithuania,COUNTRY (FIR),553,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Malta,COUNTRY (FIR),230,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Moldova,COUNTRY (FIR),71,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,NEFAB,FAB (FIR),1936,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Netherlands,COUNTRY (FIR),2660,1310,0,472,0,0,0,0,0,0,0,0,0,838,0,0,0,0,99,25
2017,1,JAN,2017-01-01T00:00:00Z,Norway,COUNTRY (FIR),1114,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Poland,COUNTRY (FIR),1461,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Portugal,COUNTRY (FIR),1721,1958,0,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,53
2017,1,JAN,2017-01-01T00:00:00Z,Portugal Continental,COUNTRY (FIR),1515,1958,0,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,53
2017,1,JAN,2017-01-01T00:00:00Z,Portugal Santa Maria,COUNTRY (FIR),378,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Romania,COUNTRY (FIR),1225,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Serbia and Montenegro,COUNTRY (FIR),1139,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,SES Area (RP2),AREA (FIR),18103,8941,0,5488,0,0,22,0,0,0,0,0,0,3431,0,0,0,0,570,215
2017,1,JAN,2017-01-01T00:00:00Z,Slovakia,COUNTRY (FIR),908,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Slovenia,COUNTRY (FIR),615,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Spain,COUNTRY (FIR),4105,368,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,5
2017,1,JAN,2017-01-01T00:00:00Z,Spain Canarias,COUNTRY (FIR),965,368,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,5
2017,1,JAN,2017-01-01T00:00:00Z,Spain Continental,COUNTRY (FIR),3874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,JAN,2017-01-01T00:00:00Z,SW FAB,FAB (FIR),4285,2326,0,2326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,58
2017,1,JAN,2017-01-01T00:00:00Z,Sweden,COUNTRY (FIR),1528,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Switzerland,COUNTRY (FIR),2239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,JAN,2017-01-01T00:00:00Z,The former Yugoslav Republic of Macedonia,COUNTRY (FIR),233,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Turkey,COUNTRY (FIR),3068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,JAN,2017-01-01T00:00:00Z,UK-Ireland FAB,FAB (FIR),4985,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,UK Continental,COUNTRY (FIR),4911,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,UK Oceanic,COUNTRY (FIR),1037,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,Ukraine,COUNTRY (FIR),333,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-01T00:00:00Z,United Kingdom,COUNTRY (FIR),5108,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-02T00:00:00Z,Albania,COUNTRY (FIR),376,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-02T00:00:00Z,Armenia,COUNTRY (FIR),120,,,,,,,,,,,,,,,,,,,
2017,1,JAN,2017-01-02T00:00:00Z,Austria,COUNTRY (FIR),2775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,JAN,2017-01-02T00:00:00Z,Baltic FAB,FAB (FIR),2281,277,0,193,0,0,0,0,0,0,17,0,0,67,0,0,0,0,28,1
