YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,ENTITY_NAME,ENTITY_TYPE,FLT_ERT_1,DLY_ERT_1,DLY_ERT_A_1,DLY_ERT_C_1,DLY_ERT_D_1,DLY_ERT_E_1,DLY_ERT_G_1,DLY_ERT_I_1,DLY_ERT_M_1,DLY_ERT_N_1,DLY_ERT_O_1,DLY_ERT_P_1,DLY_ERT_R_1,DLY_ERT_S_1,DLY_ERT_T_1,DLY_ERT_V_1,DLY_ERT_W_1,DLY_ERT_NA_1,FLT_ERT_1_DLY,FLT_ERT_1_DLY_15
2023,1,JAN,2023-01-01T00:00:00Z,Albania,COUNTRY (FIR),576,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Armenia,COUNTRY (FIR),185,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Austria,COUNTRY (FIR),2742,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,BLUE MED FAB,FAB (FIR),5146,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Baltic FAB,FAB (FIR),1522,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Belgium,COUNTRY (FIR),2374,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Bosnia and Herzegovina,COUNTRY (FIR),942,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Bulgaria,COUNTRY (FIR),1890,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Croatia,COUNTRY (FIR),1467,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Cyprus,COUNTRY (FIR),975,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Czech Republic,COUNTRY (FIR),1243,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,DANUBE FAB,FAB (FIR),2196,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,DK-SE FAB,FAB (FIR),1816,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Denmark,COUNTRY (FIR),1198,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Estonia,COUNTRY (FIR),301,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,FAB CE,FAB (FIR),4555,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,FAB CE (SES RP1),FAB (FIR),4038,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,FAB CE (SES RP2),FAB (FIR),4541,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,FABEC,FAB (FIR),11352,3175,0,1137,0,0,0,0,0,0,0,626,0,1412,0,0,0,0,290,68
2023,1,JAN,2023-01-01T00:00:00Z,Finland,COUNTRY (FIR),550,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,France,COUNTRY (FIR),6746,2281,0,380,0,0,0,0,0,0,0,626,0,1275,0,0,0,0,182,56
2023,1,JAN,2023-01-01T00:00:00Z,Georgia,COUNTRY (FIR),401,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Germany,COUNTRY (FIR),5604,750,0,613,0,0,0,0,0,0,0,0,0,137,0,0,0,0,93,10
2023,1,JAN,2023-01-01T00:00:00Z,Greece,COUNTRY (FIR),1601,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Hungary,COUNTRY (FIR),1984,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Iceland,COUNTRY (FIR),274,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Ireland,COUNTRY (FIR),1235,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Italy,COUNTRY (FIR),3769,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Latvia,COUNTRY (FIR),431,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Lithuania,COUNTRY (FIR),386,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Malta,COUNTRY (FIR),251,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Moldova,COUNTRY (FIR),46,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,NEFAB,FAB (FIR),1830,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Netherlands,COUNTRY (FIR),2595,144,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2
2023,1,JAN,2023-01-01T00:00:00Z,North Macedonia,COUNTRY (FIR),426,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Norway,COUNTRY (FIR),1127,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Poland,COUNTRY (FIR),1381,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Portugal,COUNTRY (FIR),1856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,JAN,2023-01-01T00:00:00Z,Portugal Continental,COUNTRY (FIR),1632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,JAN,2023-01-01T00:00:00Z,Portugal Santa Maria,COUNTRY (FIR),436,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Romania,COUNTRY (FIR),1508,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,SES Area (RP2),AREA (FIR),18379,6859,0,4821,0,0,0,0,0,0,0,626,0,1412,0,0,0,0,665,131
2023,1,JAN,2023-01-01T00:00:00Z,SW FAB,FAB (FIR),4864,3684,0,3684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,63
2023,1,JAN,2023-01-01T00:00:00Z,Serbia/Montenegro,COUNTRY (FIR),1712,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Slovakia,COUNTRY (FIR),979,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Slovenia,COUNTRY (FIR),896,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Spain,COUNTRY (FIR),4681,3684,0,3684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,63
2023,1,JAN,2023-01-01T00:00:00Z,Spain Canaries,COUNTRY (FIR),1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,JAN,2023-01-01T00:00:00Z,Spain Continental,COUNTRY (FIR),4414,3684,0,3684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,63
2023,1,JAN,2023-01-01T00:00:00Z,Sweden,COUNTRY (FIR),1316,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Switzerland,COUNTRY (FIR),2288,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,Türkiye,COUNTRY (FIR),3566,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,UK Continental,COUNTRY (FIR),4751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,JAN,2023-01-01T00:00:00Z,UK Oceanic,COUNTRY (FIR),1104,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-01T00:00:00Z,UK-Ireland FAB,FAB (FIR),4830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,JAN,2023-01-01T00:00:00Z,United Kingdom,COUNTRY (FIR),4936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,JAN,2023-01-02T00:00:00Z,Albania,COUNTRY (FIR),521,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-02T00:00:00Z,Armenia,COUNTRY (FIR),207,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-02T00:00:00Z,Austria,COUNTRY (FIR),3130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,JAN,2023-01-02T00:00:00Z,BLUE MED FAB,FAB (FIR),5965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,JAN,2023-01-02T00:00:00Z,Baltic FAB,FAB (FIR),1721,26,0,21,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,1
2023,1,JAN,2023-01-02T00:00:00Z,Belgium,COUNTRY (FIR),2654,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-02T00:00:00Z,Bosnia and Herzegovina,COUNTRY (FIR),996,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-02T00:00:00Z,Bulgaria,COUNTRY (FIR),1967,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-02T00:00:00Z,Croatia,COUNTRY (FIR),1545,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-02T00:00:00Z,Cyprus,COUNTRY (FIR),1012,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-02T00:00:00Z,Czech Republic,COUNTRY (FIR),1521,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-02T00:00:00Z,DANUBE FAB,FAB (FIR),2374,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-02T00:00:00Z,DK-SE FAB,FAB (FIR),2186,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-02T00:00:00Z,Denmark,COUNTRY (FIR),1387,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-02T00:00:00Z,Estonia,COUNTRY (FIR),347,,,,,,,,,,,,,,,,,,,
2023,1,JAN,2023-01-02T00:00:00Z,FAB CE,FAB (FIR),5077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
