YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,TF,VALID_FL,NO_REF,TOTAL_REF_NB_FL,TOTAL_REF_TIME_MIN,TOTAL_ADD_TIME_MIN,COMMENT
2021,01,JAN,LOWW,Vienna,Austria,2264,1868,3,1865,20554.60583,4233.79417,
2021,01,JAN,EBBR,Brussels,Belgium,2838,2053,70,1983,22080.49,4126.99333,
2021,01,JAN,EBCI,Brussels - Charleroi,Belgium,801,427,90,337,3723.66667,666.23333,
2021,01,JAN,LBSF,Sofia,Bulgaria,1074,819,99,720,7334.34167,2106.30833,
2021,01,JAN,LDZA,Zagreb,Croatia,698,574,77,497,5207.68833,2071.96167,
2021,01,JAN,LKPR,Prague,Czech Republic,1093,825,23,802,8748.44417,2173.15583,
2021,01,JAN,EKCH,Copenhagen - Kastrup,Denmark,2053,1525,10,1515,16959.43583,3502.78083,
2021,01,JAN,EETN,Tallinn,Estonia,475,240,9,231,2330.0875,743.6125000000001,
2021,01,JAN,EFHK,Helsinki - Vantaa,Finland,1993,1265,112,1153,11831.82333,3225.49333,
2021,01,JAN,LFBO,Toulouse-Blagnac,France,1137,980,103,877,10718.10333,1516.99667,
2021,01,JAN,LFLL,Lyon-Saint-Exupéry,France,1577,1350,302,1048,11500.01667,1858.48333,
2021,01,JAN,LFML,Marseille-Provence,France,1583,1266,26,1240,10692.65083,3907.3825,
2021,01,JAN,LFMN,Nice-Côte d’Azur,France,1891,1685,75,1610,17349.072500000002,5861.0275,
2021,01,JAN,LFPG,Paris - Charles-de-Gaulle,France,7148,5444,224,5220,66818.08,11214.08667,
2021,01,JAN,LFPO,Paris - Orly,France,3520,3157,146,3011,36969.98333,7212.48333,
2021,01,JAN,LFSB,Bâle-Mulhouse,France,1235,591,53,538,6458.9375,1784.49583,
2021,01,JAN,UGKO,Kutaisi,Georgia,,,,,,,NO DATA RECEIVED
2021,01,JAN,UGSB,Batumi,Georgia,,,,,,,NO DATA RECEIVED
2021,01,JAN,UGTB,Tbilisi,Georgia,,,,,,,NO DATA RECEIVED
2021,01,JAN,EDDB,Berlin - Brandenburg,Germany,2002,1647,81,1566,18072.09833,5027.50167,
2021,01,JAN,EDDC,Dresden,Germany,94,71,14,57,643.11,196.69,
2021,01,JAN,EDDE,Erfurt,Germany,117,22,22,0,,,NO REF FLIGHT
2021,01,JAN,EDDF,Frankfurt,Germany,6578,5688,36,5652,70277.295,17405.105,
2021,01,JAN,EDDG,Muenster-Osnabrueck,Germany,411,74,33,41,468.6,153.96667,
2021,01,JAN,EDDH,Hamburg,Germany,1253,1002,55,947,11247.41417,2387.2525,
2021,01,JAN,EDDK,Cologne-Bonn,Germany,2195,841,46,795,8786.36083,2262.68917,
2021,01,JAN,EDDL,Dusseldorf,Germany,1345,1174,8,1166,13521.57333,2219.67667,
2021,01,JAN,EDDM,Munich,Germany,2534,2126,1,2125,23890.27083,4368.52917,
2021,01,JAN,EDDN,Nuremberg,Germany,611,200,41,159,1784.72667,487.97333,
2021,01,JAN,EDDP,Leipzig-Halle,Germany,2557,674,97,577,6467.34167,1545.2250000000001,
2021,01,JAN,EDDR,Saarbruecken,Germany,78,52,52,0,,,NO REF FLIGHT
2021,01,JAN,EDDS,Stuttgart,Germany,1284,708,43,665,7620.90333,1283.26333,
2021,01,JAN,EDDT,Berlin - Tegel,Germany,,,,,,,NO DATA RECEIVED
2021,01,JAN,EDDV,Hanover,Germany,,,,,,,NO DATA RECEIVED
2021,01,JAN,EDDW,Bremen,Germany,499,177,39,138,1618.27667,411.00667,
2021,01,JAN,LGAV,Athens,Greece,2811,2319,37,2282,24854.965,6748.25167,
2021,01,JAN,LHBP,Budapest - Ferihegy,Hungary,873,596,20,576,6715.65083,1167.7325,
2021,01,JAN,BIKF,Keflavik,Iceland,,,,,,,NO DATA RECEIVED
2021,01,JAN,EICK,Cork,Ireland,1073,45,6,39,418.65417,137.52917,
2021,01,JAN,EIDW,Dublin,Ireland,2026,1269,197,1072,11118.79417,2229.0225,
2021,01,JAN,LLBG,Tel Aviv - Ben Gurion International,Israel,,,,,,,NO DATA RECEIVED
2021,01,JAN,LICC,Catania,Italy,876,765,1,764,8101.175,2634.19167,
2021,01,JAN,LIMC,Milan - Malpensa,Italy,2607,1786,1,1785,18813.09917,4577.03417,
