YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,TF,VALID_FL,NO_REF,TOTAL_REF_NB_FL,TOTAL_REF_TIME_MIN,TOTAL_ADD_TIME_MIN,COMMENT
2026,01,JAN,LOWW,Vienna,Austria,7996,6850,0,6850,76081.1625,19209.7875,
2026,01,JAN,EBBR,Brussels,Belgium,7260,5586,42,5544,62565.60583,11819.34417,
2026,01,JAN,EBCI,Brussels - Charleroi,Belgium,2883,2032,38,1994,21676.70667,3832.79333,
2026,01,JAN,LBSF,Sofia,Bulgaria,2620,2021,2,2019,21243.64333,6127.15667,
2026,01,JAN,LDZA,Zagreb,Croatia,1784,1464,0,1464,16490.74083,3753.05917,
2026,01,JAN,LKPR,Prague,Czech Republic,4698,3694,0,3694,42159.98,11455.23667,
2026,01,JAN,EKCH,Copenhagen - Kastrup,Denmark,9368,7347,60,7287,85280.9925,21657.27417,
2026,01,JAN,EETN,Tallinn,Estonia,1508,800,3,797,8119.7,1805.88333,
2026,01,JAN,EFHK,Helsinki - Vantaa,Finland,6302,4231,79,4152,44352.62333,11255.09333,
2026,01,JAN,LFBO,Toulouse-Blagnac,France,2430,2070,79,1991,23442.545,4157.73833,
2026,01,JAN,LFLL,Lyon-Saint-Exupéry,France,3562,2953,106,2847,32426.78083,5746.18583,
2026,01,JAN,LFML,Marseille-Provence,France,3157,2528,37,2491,22843.41667,8632.13333,
2026,01,JAN,LFMN,Nice-Côte d’Azur,France,4065,3542,119,3423,41341.875,13222.29167,
2026,01,JAN,LFPG,Paris - Charles-de-Gaulle,France,18075,14713,196,14517,196409.37,38715.19667,
2026,01,JAN,LFPO,Paris - Orly,France,7944,6709,97,6612,85121.71,15748.02333,
2026,01,JAN,LFSB,Bâle-Mulhouse,France,2771,1819,0,1819,21542.9,5014.85,
2026,01,JAN,UGKO,Kutaisi,Georgia,398,196,39,157,1496.73333,358.40000000000003,
2026,01,JAN,UGSB,Batumi,Georgia,221,174,73,101,1135.35333,267.49667,
2026,01,JAN,UGTB,Tbilisi,Georgia,2146,1298,349,949,11070.32333,1919.16,
2026,01,JAN,EDDB,Berlin - Brandenburg,Germany,6181,5279,0,5279,61137.61667,14253.58333,
2026,01,JAN,EDDC,Dresden,Germany,265,209,23,186,2107.51333,444.92,
2026,01,JAN,EDDE,Erfurt,Germany,105,34,34,0,,,NO REF FLIGHT
2026,01,JAN,EDDF,Frankfurt,Germany,15617,13776,24,13752,176323.59167,40099.29167,
2026,01,JAN,EDDG,Muenster-Osnabrueck,Germany,564,198,45,153,1790.75333,428.61333,
2026,01,JAN,EDDH,Hamburg,Germany,3886,3268,50,3218,39960.96417,9647.13583,
2026,01,JAN,EDDK,Cologne-Bonn,Germany,3577,1793,89,1704,21479.53,3406.15333,
2026,01,JAN,EDDL,Dusseldorf,Germany,4958,4165,16,4149,49539.07,7349.56333,
