YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,TF,VALID_FL,NO_REF,TOTAL_REF_NB_FL,TOTAL_REF_TIME_MIN,TOTAL_ADD_TIME_MIN,COMMENT
2018,01,JAN,LOWW,Vienna,Austria,8514,7449,49,7400,80204.07417,23027.05917,
2018,01,JAN,EBBR,Brussels,Belgium,8528,6877,110,6767,74294.40667,19771.22667,
2018,01,JAN,EBCI,Brussels - Charleroi,Belgium,2195,1516,32,1484,15732.61583,3432.25083,
2018,01,JAN,LBSF,Sofia,Bulgaria,2229,1750,10,1740,18554.51917,4936.51417,
2018,01,JAN,LDZA,Zagreb,Croatia,1517,1240,8,1232,13525.35,3288.81667,
2018,01,JAN,LKPR,Prague,Czech Republic,4968,4243,59,4184,47202.41,11438.80667,
2018,01,JAN,EKCH,Copenhagen - Kastrup,Denmark,9442,7837,392,7445,84392.90083,19860.3325,
2018,01,JAN,EETN,Tallinn,Estonia,1613,942,31,911,9181.83333,2442.93333,
2018,01,JAN,EFHK,Helsinki - Vantaa,Finland,7748,5242,134,5108,53878.62833,15080.42167,
2018,01,JAN,LFBO,Toulouse-Blagnac,France,,,,,,,NO DATA RECEIVED
2018,01,JAN,LFLL,Lyon-Saint-Exupéry,France,4183,3641,6,3635,41034.68333,8694.83333,
2018,01,JAN,LFML,Marseille-Provence,France,,,,,,,NO DATA RECEIVED
2018,01,JAN,LFMN,Nice-Côte d’Azur,France,4120,3622,117,3505,40206.14,15315.12667,
2018,01,JAN,LFPG,Paris - Charles-de-Gaulle,France,18590,15193,115,15078,195457.28167,40563.16833,
2018,01,JAN,LFPO,Paris - Orly,France,8802,7757,232,7525,96157.74,25012.56,
2018,01,JAN,LFSB,Bâle-Mulhouse,France,2467,1970,41,1929,21794.5975,5647.6025,
2018,01,JAN,UGKO,Kutaisi,Georgia,,,,,,,NO DATA RECEIVED
2018,01,JAN,UGSB,Batumi,Georgia,,,,,,,NO DATA RECEIVED
2018,01,JAN,UGTB,Tbilisi,Georgia,,,,,,,NO DATA RECEIVED
2018,01,JAN,EDDB,Berlin - Brandenburg,Germany,3697,2979,90,2889,34079.3525,6211.33083,
2018,01,JAN,EDDC,Dresden,Germany,,,,,,,NO DATA RECEIVED
2018,01,JAN,EDDE,Erfurt,Germany,204,43,35,8,81.33332999999999,19.3,
2018,01,JAN,EDDF,Frankfurt,Germany,18346,16293,122,16171,200441.45083,56270.06583,
2018,01,JAN,EDDG,Muenster-Osnabrueck,Germany,1171,315,17,298,3286.82917,872.45417,
2018,01,JAN,EDDH,Hamburg,Germany,5358,4732,36,4696,56643.83417,14806.79917,
2018,01,JAN,EDDK,Cologne-Bonn,Germany,4960,3146,80,3066,35123.61,8432.67333,
2018,01,JAN,EDDL,Dusseldorf,Germany,7402,6314,0,6314,71518.03917,19127.3275,
2018,01,JAN,EDDM,Munich,Germany,15217,13698,0,13698,167016.16417,37856.93583,
2018,01,JAN,EDDN,Nuremberg,Germany,2212,1327,19,1308,14958.89,3291.61,
2018,01,JAN,EDDP,Leipzig-Halle,Germany,2861,1122,206,916,10279.875,2234.55833,
2018,01,JAN,EDDR,Saarbruecken,Germany,314,209,33,176,1723.3666699999999,616.46667,
2018,01,JAN,EDDS,Stuttgart,Germany,4544,3363,0,3363,37550.26167,7292.27167,
2018,01,JAN,EDDT,Berlin - Tegel,Germany,5734,5226,58,5168,60437.090000000004,13118.22667,
2018,01,JAN,EDDV,Hanover,Germany,2429,1601,53,1548,16438.02667,4086.47333,
2018,01,JAN,EDDW,Bremen,Germany,1229,790,41,749,8341.46667,1989.81667,
2018,01,JAN,LGAV,Athens,Greece,6145,5074,28,5046,56648.54833,13721.76833,
2018,01,JAN,LHBP,Budapest - Ferihegy,Hungary,4088,3352,54,3298,39245.175,8621.75833,
2018,01,JAN,BIKF,Keflavik,Iceland,,,,,,,NO DATA RECEIVED
2018,01,JAN,EICK,Cork,Ireland,1228,563,62,501,5179.75,1426.76667,
2018,01,JAN,EIDW,Dublin,Ireland,8284,6822,189,6633,75627.35,29270.38333,
2018,01,JAN,LLBG,Tel Aviv - Ben Gurion International,Israel,,,,,,,NO DATA RECEIVED
2018,01,JAN,LICC,Catania,Italy,2213,1963,1,1962,20642.325,5749.175,
2018,01,JAN,LIMC,Milan - Malpensa,Italy,6745,5573,20,5553,56687.06333,15854.87,
2018,01,JAN,LIME,Bergamo,Italy,3420,2648,32,2616,32438.350000000002,7549.68333,
2018,01,JAN,LIMF,Torino Caselle,Italy,,,,,,,DATA ISSUE
2018,01,JAN,LIML,Milan - Linate,Italy,4503,3946,27,3919,38499.68333,10526.4,
2018,01,JAN,LIPE,Bologna,Italy,2520,2013,29,1984,22693.90667,5717.27667,
2018,01,JAN,LIPZ,Venice,Italy,2678,2274,12,2262,22232.44333,4998.72333,
2018,01,JAN,LIRA,Rome - Ciampino,Italy,,,,,,,DATA ISSUE
2018,01,JAN,LIRF,Rome - Fiumicino,Italy,10815,9823,26,9797,105416.64,31691.44333,
2018,01,JAN,LIRN,Naples,Italy,2349,2070,69,2001,21733.08,6235.25333,
2018,01,JAN,EVRA,Riga,Latvia,3019,2183,0,2183,24068.475,6868.74167,
2018,01,JAN,EYVI,Vilnius,Lithuania,,,,,,,NO DATA RECEIVED
2018,01,JAN,ELLX,Luxembourg,Luxembourg,3019,2253,0,2253,25869.3425,6617.52417,
2018,01,JAN,LMML,Malta,Malta,2097,1351,50,1301,12460.5,4701.81667,
2018,01,JAN,GMMN,Mohammed V International,Morocco,,,,,,,NO DATA RECEIVED
2018,01,JAN,GMMX,Menara,Morocco,,,,,,,NO DATA RECEIVED
2018,01,JAN,EHAM,Amsterdam - Schiphol,Netherlands,19183,16658,51,16607,200851.655,55673.42833,
2018,01,JAN,ENBR,Bergen,Norway,,,,,,,DATA ISSUE
2018,01,JAN,ENGM,Oslo - Gardermoen,Norway,9545,8330,0,8330,96468.86,26539.39,
2018,01,JAN,ENVA,Trondheim,Norway,,,,,,,DATA ISSUE
2018,01,JAN,ENZV,Stavanger,Norway,,,,,,,DATA ISSUE
2018,01,JAN,EPWA,Warszawa - Chopina,Poland,6863,5684,66,5618,65309.3075,20588.35917,
2018,01,JAN,LPFR,Faro,Portugal,,,,,,,NO DATA RECEIVED
2018,01,JAN,LPPR,Porto,Portugal,3301,2745,3,2742,30168.62333,9015.56,
2018,01,JAN,LPPT,Lisbon,Portugal,8088,6925,39,6886,88251.71333,25295.47,
2018,01,JAN,LROP,Bucharest - Otopeni,Romania,4358,3260,11,3249,34649.725,10349.025,
2018,01,JAN,LZIB,Bratislava,Slovakia,837,562,2,560,5904.41583,1633.1675,
2018,01,JAN,LJLJ,Ljubljana,Slovenia,1231,991,41,950,9684.13333,3827.6,
2018,01,JAN,GCFV,Fuerteventura,Spain,2112,1961,4,1957,22758.850000000002,6758.71667,
2018,01,JAN,GCLP,Gran Canaria,Spain,5659,4126,35,4091,50285.47,18753.29667,
2018,01,JAN,GCRR,Lanzarote,Spain,2464,2249,2,2247,26762.27333,5779.72667,
2018,01,JAN,GCTS,Tenerife Sur - Reina Sofia,Spain,3083,2678,33,2645,31237.33333,7377.75,
2018,01,JAN,GCXO,Tenerife North,Spain,2771,1222,5,1217,12731.085,2946.39833,
2018,01,JAN,LEAL,Alicante,Spain,2681,2352,64,2288,26917.04833,6716.56833,
2018,01,JAN,LEBB,Bilbao,Spain,1570,1216,36,1180,12453.73333,3998.4500000000003,
2018,01,JAN,LEBL,Barcelona,Spain,11195,9190,595,8595,103500.16333,19594.48667,
2018,01,JAN,LEIB,Ibiza,Spain,1101,665,0,665,7330.6900000000005,1591.79333,
2018,01,JAN,LEMD,Madrid - Barajas,Spain,15670,13296,49,13247,159055.04167,40862.575,
2018,01,JAN,LEMG,Málaga,Spain,3877,3113,115,2998,36042.21,7999.79,
