YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,TF,VALID_FL,NO_REF,TOTAL_REF_NB_FL,TOTAL_REF_TIME_MIN,TOTAL_ADD_TIME_MIN,COMMENT
2020,01,JAN,LOWW,Vienna,Austria,10326,8744,278,8466,94381.13333,28337.48333,
2020,01,JAN,EBBR,Brussels,Belgium,8435,6867,93,6774,74259.7775,18864.45583,
2020,01,JAN,EBCI,Brussels - Charleroi,Belgium,2430,1622,14,1608,17385.71833,3684.13167,
2020,01,JAN,LBSF,Sofia,Bulgaria,2392,1903,37,1866,20056.36583,5524.95083,
2020,01,JAN,LDZA,Zagreb,Croatia,1557,1308,16,1292,14367.12583,3761.49083,
2020,01,JAN,LKPR,Prague,Czech Republic,5063,4400,10,4390,49156.01667,12090.46667,
2020,01,JAN,EKCH,Copenhagen - Kastrup,Denmark,9545,7888,34,7854,89838.77083,21287.27917,
2020,01,JAN,EETN,Tallinn,Estonia,1631,987,6,981,9810.23333,3480.9,
2020,01,JAN,EFHK,Helsinki - Vantaa,Finland,8221,5576,217,5359,57555.55667,14530.19333,
2020,01,JAN,LFBO,Toulouse-Blagnac,France,3498,3003,54,2949,34008.6425,6345.57417,
2020,01,JAN,LFLL,Lyon-Saint-Exupéry,France,4341,3787,77,3710,41704.645,9188.52167,
2020,01,JAN,LFML,Marseille-Provence,France,4117,3221,138,3083,27303.35583,10604.7775,
2020,01,JAN,LFMN,Nice-Côte d’Azur,France,4217,3803,0,3803,43677.450000000004,11610.9,
2020,01,JAN,LFPG,Paris - Charles-de-Gaulle,France,19405,15570,108,15462,205746.0425,40858.9075,
2020,01,JAN,LFPO,Paris - Orly,France,8609,7475,64,7411,94210.20667,19944.81,
2020,01,JAN,LFSB,Bâle-Mulhouse,France,2520,1991,3,1988,22336.01667,4866.3,
2020,01,JAN,UGKO,Kutaisi,Georgia,,,,,,,NO DATA RECEIVED
2020,01,JAN,UGSB,Batumi,Georgia,,,,,,,NO DATA RECEIVED
2020,01,JAN,UGTB,Tbilisi,Georgia,,,,,,,NO DATA RECEIVED
2020,01,JAN,EDDB,Berlin - Brandenburg,Germany,3240,2482,2,2480,29225.66417,5178.18583,
2020,01,JAN,EDDC,Dresden,Germany,725,635,31,604,6781.56167,1549.32167,
2020,01,JAN,EDDE,Erfurt,Germany,287,41,41,0,,,NO REF FLIGHT
2020,01,JAN,EDDF,Frankfurt,Germany,18146,16293,25,16268,204177.07333,53322.06,
2020,01,JAN,EDDG,Muenster-Osnabrueck,Germany,1029,411,25,386,4310.7275,1077.28917,
2020,01,JAN,EDDH,Hamburg,Germany,5248,4787,28,4759,59477.67917,12978.07083,
2020,01,JAN,EDDK,Cologne-Bonn,Germany,4989,3234,15,3219,36644.5975,7632.16917,
2020,01,JAN,EDDL,Dusseldorf,Germany,7867,6967,2,6965,78664.65583,19735.7275,
2020,01,JAN,EDDM,Munich,Germany,15409,13703,0,13703,164389.26333,42523.07,
2020,01,JAN,EDDN,Nuremberg,Germany,2147,1301,0,1301,14932.8875,2768.97917,
2020,01,JAN,EDDP,Leipzig-Halle,Germany,2836,1149,59,1090,12639.9625,2385.42083,
2020,01,JAN,EDDR,Saarbruecken,Germany,263,139,46,93,901.635,324.96500000000003,
2020,01,JAN,EDDS,Stuttgart,Germany,4928,3741,0,3741,43082.88583,7656.83083,
2020,01,JAN,EDDT,Berlin - Tegel,Germany,6625,6068,31,6037,71679.33,14068.73667,
2020,01,JAN,EDDV,Hanover,Germany,2461,1623,71,1552,16704.74917,3971.40083,
2020,01,JAN,EDDW,Bremen,Germany,1299,843,44,799,9364.56667,1878.6166699999999,
2020,01,JAN,LGAV,Athens,Greece,6817,5673,19,5654,64115.43333,16832.86667,
2020,01,JAN,LHBP,Budapest - Ferihegy,Hungary,4800,3716,24,3692,45195.19667,10962.55333,
2020,01,JAN,BIKF,Keflavik,Iceland,,,,,,,NO DATA RECEIVED
2020,01,JAN,EICK,Cork,Ireland,1813,575,66,509,5607.44333,1017.5400000000001,
2020,01,JAN,EIDW,Dublin,Ireland,8333,6922,237,6685,70463.55,23149.01667,
2020,01,JAN,LLBG,Tel Aviv - Ben Gurion International,Israel,,,,,,,NO DATA RECEIVED
2020,01,JAN,LICC,Catania,Italy,2283,2003,12,1991,21219.98167,6447.06833,
2020,01,JAN,LIMC,Milan - Malpensa,Italy,7831,6493,7,6486,70296.96,19457.09,
2020,01,JAN,LIME,Bergamo,Italy,3771,2945,22,2923,34779.06833,8790.465,
2020,01,JAN,LIMF,Torino Caselle,Italy,,,,,,,NO PREVIOUS RSLT
2020,01,JAN,LIML,Milan - Linate,Italy,4575,3984,0,3984,40232.52917,10159.72083,
2020,01,JAN,LIPE,Bologna,Italy,,,,,,,NO PREVIOUS RSLT
2020,01,JAN,LIPZ,Venice,Italy,2783,2362,6,2356,23930.81167,6923.43833,
2020,01,JAN,LIRA,Rome - Ciampino,Italy,,,,,,,DATA ISSUE
2020,01,JAN,LIRF,Rome - Fiumicino,Italy,10596,9488,0,9488,100300.49417,24485.70583,
2020,01,JAN,LIRN,Naples,Italy,2547,2122,25,2097,22364.16,5052.39,
2020,01,JAN,EVRA,Riga,Latvia,3053,2340,1,2339,26209.55167,6001.5650000000005,
2020,01,JAN,EYVI,Vilnius,Lithuania,1783,1423,27,1396,14471.3475,3904.58583,
2020,01,JAN,ELLX,Luxembourg,Luxembourg,3201,2322,1,2321,26026.03083,6259.13583,
2020,01,JAN,LMML,Malta,Malta,2459,1524,22,1502,15665.72833,4232.055,
2020,01,JAN,GMMN,Mohammed V International,Morocco,,,,,,,NO DATA RECEIVED
