YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,TF,VALID_FL,NO_REF,TOTAL_REF_NB_FL,TOTAL_REF_TIME_MIN,TOTAL_ADD_TIME_MIN,COMMENT
2024,01,JAN,LOWW,Vienna,Austria,8040,6790,0,6790,75023.53,17942.920000000002,
2024,01,JAN,EBBR,Brussels,Belgium,6757,5321,11,5310,59749.765,14221.95167,
2024,01,JAN,EBCI,Brussels - Charleroi,Belgium,2891,1985,36,1949,21654.2575,4591.70917,
2024,01,JAN,LBSF,Sofia,Bulgaria,2410,1878,35,1843,20446.30417,5172.84583,
2024,01,JAN,LDZA,Zagreb,Croatia,1768,1482,34,1448,16217.13583,3966.63083,
2024,01,JAN,LKPR,Prague,Czech Republic,3916,3209,54,3155,35706.6,8689.66667,
2024,01,JAN,EKCH,Copenhagen - Kastrup,Denmark,7757,6250,36,6214,72952.91,16499.72333,
2024,01,JAN,EETN,Tallinn,Estonia,1390,721,11,710,7607.84583,2025.1875,
2024,01,JAN,EFHK,Helsinki - Vantaa,Finland,5842,3928,64,3864,40483.83833,10147.145,
2024,01,JAN,LFBO,Toulouse-Blagnac,France,2364,1971,15,1956,23080.44333,3682.40667,
2024,01,JAN,LFLL,Lyon-Saint-Exupéry,France,3293,2800,12,2788,31264.9175,5375.44917,
2024,01,JAN,LFML,Marseille-Provence,France,3340,2688,18,2670,23922.17083,9414.112500000001,
2024,01,JAN,LFMN,Nice-Côte d’Azur,France,3824,3356,25,3331,37833.63917,10806.66083,
2024,01,JAN,LFPG,Paris - Charles-de-Gaulle,France,15875,12812,161,12651,169067.51417,30030.78583,
2024,01,JAN,LFPO,Paris - Orly,France,6718,5722,55,5667,71162.80333,13368.51333,
2024,01,JAN,LFSB,Bâle-Mulhouse,France,2677,1740,13,1727,20441.505,5347.795,
2024,01,JAN,UGKO,Kutaisi,Georgia,,,,,,,NO DATA RECEIVED
2024,01,JAN,UGSB,Batumi,Georgia,,,,,,,NO DATA RECEIVED
2024,01,JAN,UGTB,Tbilisi,Georgia,,,,,,,NO DATA RECEIVED
2024,01,JAN,EDDB,Berlin - Brandenburg,Germany,5988,5132,35,5097,61381.44333,13167.94,
2024,01,JAN,EDDC,Dresden,Germany,330,278,12,266,3046.58333,886.71667,
2024,01,JAN,EDDE,Erfurt,Germany,169,42,42,0,,,NO REF FLIGHT
2024,01,JAN,EDDF,Frankfurt,Germany,15493,13660,17,13643,173912.0175,42054.2325,
2024,01,JAN,EDDG,Muenster-Osnabrueck,Germany,755,236,23,213,2406.42667,611.94,
2024,01,JAN,EDDH,Hamburg,Germany,3863,3329,68,3261,40185.5725,8258.327500000001,
2024,01,JAN,EDDK,Cologne-Bonn,Germany,3701,1935,127,1808,20726.48083,4906.0025000000005,
2024,01,JAN,EDDL,Dusseldorf,Germany,4730,4018,3,4015,47682.19083,8602.97583,
2024,01,JAN,EDDM,Munich,Germany,10859,9655,0,9655,112139.345,25046.23833,
2024,01,JAN,EDDN,Nuremberg,Germany,1709,864,34,830,9872.122500000001,1949.99417,
2024,01,JAN,EDDP,Leipzig-Halle,Germany,2864,993,57,936,10856.07833,2132.43833,
2024,01,JAN,EDDR,Saarbruecken,Germany,117,81,25,56,580.5,221.98333,
2024,01,JAN,EDDS,Stuttgart,Germany,3017,2002,0,2002,23063.14333,4077.15667,
2024,01,JAN,EDDT,Berlin - Tegel,Germany,,,,,,,NO DATA RECEIVED
2024,01,JAN,EDDV,Hanover,Germany,1969,1058,82,976,10723.8925,2548.8575,
2024,01,JAN,EDDW,Bremen,Germany,1090,567,14,553,6472.12167,1554.645,
2024,01,JAN,LGAV,Athens,Greece,7442,5940,90,5850,64663.63667,20413.81333,
2024,01,JAN,LHBP,Budapest - Ferihegy,Hungary,4280,3220,34,3186,39186.51583,6681.8175,
2024,01,JAN,BIKF,Keflavik,Iceland,,,,,,,NO DATA RECEIVED
